corpusid,section,subsection,section_pos_in_pct,text,Yes,No,Maybe,Keyword
3287420,4/10,1,0.4,"The NOAK study (optimization of anti-inflammatory asthma treatment using exhaled nitric oxide to improve asthma-related quality of life within primary health care) was a randomized, controlled trial on F E NO-guided treatment with asthma-related quality of life and asthma symptom control as endpoints. Details on sampling procedure and **data** collection have been described elsewhere. 38 A brief description of methodological procedures is given here. Informed written consent was obtained prior to the start of the study from all participants. The study was registered in clinical trials, NCT00421018, and was approved by the regional ethics committee in Stockholm (Dnr: 2006/185-31). A sample of 181 patients with asthma (87 women, 94 men) aged 18-64 years were recruited at 17 primary health care centres in seven different county councils in central and southern Sweden from November 2006 to March 2010. All participants had a diagnosis of asthma and had confirmed IgE sensitization to at least one airborne perennial allergen. The participants were non-smokers since at least 1 year before inclusion. Included patients had a previous smoking history of maximum 10 pack-years.",0,1,0,
59599802,2/14,1,0.143,"The following **data** were taken from April 1995 to December 2015 and used in the analyses: Pollination/crossing number, female parent, ploidy of the female parent, male parent, ploidy of male parent, date of pollination, harvest date, date of seed extraction, total number of seeds, number of good seeds (with black hard integuments), number of bad seeds (with brown soft integuments), date of embryo extraction, number of extracted embryos, number of germinated embryos after two months, contaminations, number of weaned plants, and number of hardened plants ready for planting in the field. The total number of seeds per cultivar, total number of bunches of a cultivar pollinated but without seed, highest seed per pollinated bunch, mean of seeds per bunch and standard errors, and pollination success for triploid and tetraploid cultivars were calculated. Likewise, the total number of seeds per diploid used as male to pollinate cultivars, total number of bunches of cultivars pollinated by a particular diploid male but without seed, highest seed per bunch when pollinated by a particular diploid male, mean of seeds per bunch pollinated by particular diploid male and standard errors, and pollination success for 29 diploid males were calculated. The pollination success throughout the 21 years under study was computed as:",0,1,0,
251711372,117/119,1,0.983,"To prove the robustness of our findings, we conduct additional analysis of the announcement of the effectiveness of the Pfizer-BioNTech COVID-19 vaccine in the US. As highlighted by Abate et al. (2020), most governments have prioritized maintaining air transport connectivity in order to protect economic activity and jobs. State aid to airlines raises doubts about the appropriateness of the pre-COVID-19 **data** used in cross-sectional regressions in Panel 2 of Table 2 for vaccine announcement analysis. For example, due to state aid and bailouts, the ownership structure and indebtedness of airlines had already changed when vaccines were announced to be effective. According to the IATA, the global airline debt had increased by $220 billion by the end of 2020, where state aid accounted for between 1% (Latin America) and 25% (North America) of airline operating revenues in2019. 7 We evaluate Equation (4) for the seven variables, using the most recent **data** for many of the control variables to draw any relevant explanatory power from them. The control variables are calculated based on interim accounting figures for the year 2020. Panel 3 of Table 2 provides the results, which are consistent with the results of the original analysis in Panel 2 of Table 2. [-1,5]. SIZE i is the total assets (natural logarithm of total assets, millions of Euro); OWN i is the cumulated ownership of the three main shareholders (%); LIQ i is the ratio of current assets to total assets (%); TLEV i is the ratio of total debt to total assets (%); ROA i is the ratio of operating income to total average assets (%); LCD i is a dummy variable that takes the value 1 for low-cost carriers and 0 otherwise; STO i is a dummy variable that takes the value 1 if the main owner is the state or another public entity and 0 otherwise*, ** and *** denote statistical significance at the 10%, 5% and 1% level, respectively. Country-clustering robust errors are used (in parentheses).",0,1,0,
1520137,29/35,1,0.829,"Procedure. Each observer was between 18-40 years old, had normal or corrected-to-normal vision, and participated in only one experment. The experiments were carried out in a dimly lit room. Each trial began with the fixation display for 500 ms, followed by the test stimulus display for 80 ms together with an auditory beep, which is then followed by the fixation display which stayed on waiting for observers' button press response to indicate whether they perceived the target or not in the trial. No feedbacks were given regarding whether their responses were correct. The next trial started 800 ms after the button press. A total of 20 randomly selected trials were performed before **data** collection for each observer before each session. Each experimental session randomly interleaved different stimulus conditions, such that the observers could not predict beyond chance the target contrast C t , nor the contextual configuration and contrast C c before each trial.",0,1,0,
55648852,16/40,1,0.4,"After the phase of installation of the seismic stations, each group developed activities of maintenance and control. These activities were focused mainly in controlling the proper operation of the seismic stations and in changing the batteries every 7 days to ensure **data** acquisition. To avoid potential vandalism on the seismic stations, every site was visited at least once every 2 or 3 days.",0,1,0,
57759233,24/28,1,0.857,"Figure 3 :
 3Pre-and posttest neurophysiologic measures. (a) Nonlesioned hemisphere amplitude with single-pulse TMS testing. (b) Lesioned hemisphere amplitude with single-pulse TMS testing. (c) Nonlesioned hemisphere CSP duration. (d) Lesioned hemisphere CSP duration. Nonlesioned **data** is denoted by a closed circle, and lesioned **data** is denoted by an open circle. Note: **data** points are labeled with a superscript participant identifier consistent with Table 1 (participant IDs 1-8). The y-axis representing change differs between the measures. CSP: cortical silent period; ms: milliseconds; SP: single-pulse; TMS: transcranial magnetic stimulation. Amplitudes are measured in μV (microvolts).",0,1,0,
253536255,5/31,1,0.161,"EBL cells after M. bovis treatment with 50 MOI were collected for total RNA extraction and transcriptome analysis. In brief, cellular total RNAs were isolated using the Trizol reagent (Takara, Dalian, China). Qualified total RNA was further purified by an RNeasy mini kit (Qiagen, GmBH, Hilden, Germany). The mRNAs were enriched using the Oligo(dT) beads and then were fragmented and reverse transcribed into cDNA. The cDNA Library quality was checked using a Bioanalyzer2100 (Agilent, Santa Clara, CA, USA). The cDNAs were purified with QiaQuick PCR extraction kit (Qiagen, GmBH, Germany), end repaired, poly(A) added and ligated to Illumina sequencing adapters. The ligation products were size selected by agarose gel electrophoresis, PCR amplified and sequenced using Illumina HiSeq 2500 by Gene Denovo Biotechnology (Guangzhou, China). The random reads were mapped to nucleotide database Bos taurus (GCF_002263795.1_ARS-UCD1.2_genomic). The gene expression level was calculated by using the RPKM method (Reads Per kb per Million reads). FDR (False-Discovery Rate) is a method to determine the threshold of p-value. All **data** analyses were supported by Denovo Biotechnology (Guangzhou, China). Data were submitted to the gene expression omnibus (GEO) archive. The accession number is SUB12077437.",1,0,0,"Data were submitted to, The accession number is"
234850341,5/23,1,0.217,"Social media platforms Facebook, Twitter and WhatsApp have been taken into consideration for study. Secondary **data** was collected by perusing different report and transcriptions for a 'sense of whole', relevant units were identified and clustered in order to identify emergent themes and draw inferences and conclusions. In the conduct of this study, external **data** made available by entities such as Government, Trade associations, user groups, consumer federations, service providers, libraries, books, newspapers, journals, databases and the Internet were perused. Significant scrutiny of qualitative **data** has also been conducted as part of the secondary **data** to gain a holistic overview of the context under study with reference to its logic, arrangements, explicit and implicit rules.",0,1,0,
8177260,6/10,2,0.6,"Statistical analysis. Between-group comparisons of normally distributed measurements were assessed by Student's t-test. One-way analysis of variance was used to compare more than two **data** groups and Dunnett's post-test was used to compare each group with a control (untreated) group. Two-way analysis of variance was used to compare multiple **data** groups affected by two independent variables, with a Bonferroni correction to compare groups with each other. Differences were considered statistically significant at Po0.05.",0,1,0,
229159623,6/20,1,0.3,"The tasks included in the CFSAT program were using a ticket kiosk, an ATM banking, telephone menu prescription refill, medication management (comprehending instructions on pills bottles and organizing medication), internet banking, using a pharmacy website (UGreens) for online shopping, and prescription refill ( Figure 2). The tasks were chosen given their importance to independent living and technology has changed the manner in which they are performed. The tasks are presented in a multimedia format that includes graphic representations, text, and voice for the telephone refill task and consist of multiple subtasks with sequential demands. For example, for the telephone refill task, participants have to call the pharmacy (using a telephone keypad on the screen), refill different prescriptions (pill bottles appeared on the screen), choose a delivery preference, request a pick-up time and date, etc. ""PIN numbers"" and fictitious accounts were provided. Real-time **data** were collected on completion time, and an efficiency measure (total correct/time). Time was measured while the participant was actively engaging in a task. The CFSAT program was delivered on a touch-screen or mouse format in a PC environment. For the CFSAT assessment component, the program was launched, and the participants proceeded through the tasks. If they made more than four errors on a subtask (e.g., repeatedly selected the wrong account in the ATM task), the program skipped ahead to the next subtask. Error feedback was delivered by repetition of the original instructions in a pop-up window. Our prior work (Czaja et al., 2017) has shown that it is feasible to use the CFSAT assessment battery with NC older adults and older adults with MCI.",0,1,0,
