corpusid,section,subsection,section_pos_in_pct,text
29984578,3/6,4.0,0.5,"Consequently, we conclude that Rad17p-Rad17p interaction can occur independently of the Rad17p⅐Mec3p⅐Ddc1p complex and participation of Rad17p in two separate, possibly competing complexes can be assumed. One wonders if Rad17p might be able to form PCNA-like homotrimeric structures as originally suggested (40). However, MEC3 expressed from a multicopy plasmid does neither enhance nor reduce Rad17p-Rad17p interaction and thus no indication for a competition between different Rad17p-containing complexes was found (data not shown). Alternatively, the **data** are also consistent with a simultaneous complex formation of Rad17p with itself and Mec3p. One could envision multimeric aggregate formation of a PCNA-ring-like Rad17p⅐Mec3p⅐Ddc1p complex on DNA, mediated by Rad17p homomeric interactions. We currently favor this hypothesis because Rad17p but also Mec3p self-interactions have been indicated for the human homologues (hRad1, hHus1, Ref. 46), thus possibly hinting at an evolutionary conserved capability of the heterotrimer to form higher order complexes. On the other hand, protein elution profiles in S. pombe did not indicate any shift in Hus1 protein association following DNA damage by ionizing radiation (44). However, all of the complexes detected in this study were larger in size than the predicted single heterotrimeric complex."
196643668,31/34,1.0,0.912,"Figure 7 .
7Number of candidate positions after SNP filtering of NGS **data** for the dwarf mutant in line 10-d. A presentation of the SNP filtering steps are listed on the left and the number of SNPs remaining the genome after each step is provided on the right. The one and only one SNP remaining after filtering is represented graphically. The gene model of the locus responsible for the dwarf phenotype in 10-d is displayed with exons and introns indicated with the position of the mutation marked and annotated.
"
217125084,12/57,1.0,0.211,"Although mutations have happened in some genes, new and inactive MKK genes were by no means generated as expected previous reports indicated that a mutation of MKKs in serine or theronine residues gave rise to the abolishment of these kinase activity [37]. However, depending on the public tiling array **data** and mutant phenotypes, apparently, the function of AtMKK10 that is catalytically inactive is associated with pollen development despite the sequence change in phosphorylation site (Fig. 6b, c). According to our RT-qPCR experiments, BdMKK10-5 have same situation in its phosphorylation site is up-regulated after UV-B treatment (Additional file 20). More interesting, previous studies had shown that the average root growth rate for double mutant MKK10/MPK3 or MKK10/MPK6 was higher than anyone single mutant of them [55], and also the transcripts of MKK10 significantly changed after PPV-infected protoplasts [56]. More studied have been reported showed that part mutant MAPKK gene was involved with disease resistance in rice and ethylene-dependent cell death in maize, respectively, which can phosphorylate MAPK6 and MAPK3 in vivo [57,58]. Furthermore, AtMKK10 have experienced mutations in phosphorylation key active site and exhibited different expression profiles from AtMKK7/8/ 9 (Fig. 6a). So, the mutant paralogs might still maintain the kinase activity to downstream target proteins."
25460449,1/31,2.0,0.032,"SGs are expressed (Crosbie et al., 1999). Taken together, these **data** support a role for expression of the complete SG-SSPN subcomplex to prevent MD."
210938004,9/14,1.0,0.643,"SMARCD1, a member of the SWI/SNF chromatin remodeling complex family, regulates gene transcription by binding specific transcriptional factors and altering local chromatin structure [25]. To our knowledge, SMARCD1 has not been reported as associated with ICS response in prior studies, although it has been found to be associated with asthma in a prior analysis that used GEO **data** from adult cohorts of the Unbiased Biomarkers for the Predictions of Respiratory Disease Outcomes (U-BIOPRED) research study [26]. Protein-protein interaction network **data** support the role of SMARCD1 in modulating asthma control while on ICS. Synthetic glucocorticoid medications (such as inhaled budesonide and dexamethasone) are potent inducers of glucocorticoid signaling, Fig. 3 Relative expression of SMARCD1 in A549 cells after transfection with two separate short interfering RNAs (siRNA). siRNA 1 showed over 80% reduction of SMARCD1 expression compared to transfection with a scramble RNA control exerting their anti-inflammatory effects through glucocorticoid receptor binding [27]. A search of NDEX [23] shows SMARCD1 as a key effector and regulatory protein within the glucocorticoid receptor regulatory network. In protein-protein interaction studies, SMARCD1 complexes with NRC31 (nuclear receptor subfamily 3 group C member 1), a glucocorticoid receptor [28]. We further validated the in vitro role of SMARCD1 in the inflammatory process and the action of dexamethasone on that process."
237305738,10/19,1.0,0.526,"The Phytophthora infestans-tomato interaction is a good example where the transcriptome and metabolomes have been integrated, to derive a robust infection model [121]. Predictive genome-scale metabolic models (GEMs) were derived from P. infestans enzyme sequences, which were related to KEGG metabolic networks [122]. This GEM was then improved by incorporating further information, such as organellar location and, crucially, transcriptomic and metabolomic **data** [121]. These models showed how P. infestans growth was dependent on host thiamine biosynthesis. Moreover, separate consideration of the host and oomycete transcriptomic **data** showed how the pathogen increasingly shuts down some of its own biosynthetic pathways, becoming more dependent on host-sourced nutrients. Although undoubtedly challenging, such multi-omic approaches offer the possibility of major new insights."
246493125,3/5,7.0,0.6,"Satellite estimates provide changes in the combined sensible heat and ground heat fluxes (H+G) under different land cover conversions at 1°spatial resolution based on MODIS **data** (a total of 45 pairs of land conversions for ""HG_IGBPdet""). The combined fluxes of H+G were estimated as the residual of surface energy components as described in ref. 4 . Due to the small contribution of G to H+G, we referred to ""H+G"" as ""H"" for simplicity in the following text and the main text. To obtain sensible heat differences between forest and non-forest (ΔH) that are compatible with ΔCloud, we extracted the dominant land cover type for unchanged forest (e.g., evergreen broadleaf) and non-forest pixels (e.g., crop) within each moving window from the ESA land cover product. The dominant land cover types for forests and non-forest were upscaled to 1°resolution with the ""major"" method (figure not shown for 1°, but a similar one for 0.5°is shown in Supplementary  Fig. 9). For each one-degree grid box with a dominant forest type (e.g., evergreen broadleaf) and non-forest type (e.g., crop), ΔH can be extracted from the corresponding sensible heat change value that matches the specific land conversion (e.g., evergreen broadleaf to crop) at the same grid box from the 45 pairs of land cover conversions defined within the ""HG_IGBPdet"" dataset."
246493125,3/5,4.0,0.6,"Elevation **data** are from SRTM Digital Elevation Data at 0.05°resolution. Land cover **data** include MODIS (MOD12C1) and European Space Agency (ESA) global land cover products, which were aggregated to 0.05°."
233438695,14/62,1.0,0.226,"Author
Contributions: Conceptualization, M.R.S.; R.K.; methodology, M.R.S.; R.K.; software, M.R.S.; validation, M.R.S.; R.K.; formal analysis, M.R.S.; investigation, M.R.S.; resources, M.R.S.; **data** curation, M.R.S.; writing-original draft preparation, M.R.S.; writing-review and editing, R.K.; visualization, M.R.S.; All authors have read and agreed to the published version of the manuscript.
"
249993992,16/61,1.0,0.262,"Nine genes involved in the abscisic acid (ABA) biosynthetic pathway, ethylene signaling pathway, and a hypoxia-responsive gene were selected for qPCR analysis to validate the transcriptomic **data** ( Figure 9A). The expression of the selected genes between RNA-sequencing and qPCR were highly correlated, with a correlation coefficient of 0.9408 ( Figure 9B). "
