corpusid,section,subsection,section_pos_in_pct,text
53380409,58/119,1.0,0.487,"The combination of the individual channels proceeds with a simultaneous analysis of the signal discriminants across all of the channels. For each signal model being tested, only the channels sensitive to that hypothesis are included in the combination. The statistical treatment of the **data** is based on the ROOFIT [61], ROOSTATS [62], and HISTFACTORY [63] **data** modeling and handling toolkits. Results are calculated in two different signal parametrization paradigms, corresponding to one-dimensional upper limits on the cross section times branching fraction (σ × B) and two-dimensional limits on coupling strengths. The statistical treatment of each case is described here."
221635250,11/22,1.0,0.5,"Raw mobility spectra for positively charged THABr clusters taken with the Perez-LT-3 o DMA, with the blower running at the lowest (3200 rpm, gray) and the highest (9000 rpm, black) settings tested. The aerosol flow was between 1.3 and 1.5 L/min. Fig. 4 shows raw mobility spectra for positively charged THABr clusters at the lowest and the highest settings of the blower used, showing a drastic increase in resolution as the flow rate goes up. The bipolar source used produces dominantly singly charged ions (Fernandez de la Mora & Barrios, 2017), so the ordering of the peaks in the spectrum reveals directly their composition: monomer (bare cation), dimer, trimer, etc, from left to right. The upper spectrum taken at 3200 rpm resolves up to 18 clusters. The lower spectrum taken at 9000 rpm goes only up to the octamer. Note that the noise level is about 0.1 fA, as expected for this electrometer. As a result of the rather low signal, the zero drift of the electrometer is not negligible. It was corrected by assuming a linear variation of the baseline with the voltage, such that the horizontal regions between isolated peaks would be indeed flat. As an example, in the **data** shown at 9000 rpm (lower continuous black line) the last datum that reads approximately 0 fA when corrected would have read 0.4 fA, and the flat theoretically horizontal regions between peaks 1-6, if not corrected, would have had an unphysical finite upward slope. Uncorrected **data** are shown also for reference as the dotted line falling slightly above the corrected continuous line for 9000 rpm. Spectra were taken at the pump settings and flow rates indicated in Table 3. The peaks for the various clusters in these spectra taken at several pump speeds were fitted to Gaussian curves to obtain the resolving powers shown in Fig. 5. The figure includes the continuous gray line C V 1/2 scaling with peak voltage as theoretically expected from diffusive broadening (Rosell et al., 1996). The coefficient C (1.55 V − 1/2 ) used is not obtained by any rigorous theoretical analysis, but empirically as a low-voltage fit (gray line in Fig. 5) to the upper envelope of the data:"
53380409,10/119,1.0,0.084,"The combination of the individual channels proceeds with a simultaneous analysis of the signal discriminants across all of the channels. For each signal model being tested, only the channels sensitive to that hypothesis are included in the combination. The statistical treatment of the **data** is based on the ROOFIT [61], ROOSTATS [62], and HISTFACTORY [63] **data** modeling and handling toolkits. Results are calculated in two different signal parametrization paradigms, corresponding to one-dimensional upper limits on the cross section times branching fraction (σ × B) and two-dimensional limits on coupling strengths. The statistical treatment of each case is described here."
17671315,18/32,2.0,0.562,"Since the differentiation of noisy **data** is an unstable procedure andf (t − λ) is the kernel of the integral equation (56), we calculate the derivativef (t) in a special way. For each point t k := z k , k = 1, ..., M z − 1 we approximate the derivativef (t k ) aŝ
f (t k ) ≈f (t k+1 ) −f (t k−1 ) 2h z .(59)
Next, we extend this approximation as the discrete even function for t k = −z k , k = 1, ..., M − 1. Even though (59) seems to be a non-regularizing procedure, it works quite well for our goal, since in the discrete integration in (56) the right hand side of (59) is actually multiplied by h z /2."
2423505,10/23,1.0,0.435,"Often, the simplifying assumptions of the previous section doesn't hold. This section discuss method that use prior probabilities estimated on the source **data** to regularize the model. We first cover priors in the bayesian sense, and then some examples of discriminative methods. Ei("
236684590,11/15,1.0,0.733,"As a result of statistical processing of our laboratory **data** and the Main canal diversion (MCD) spatial **data** model (Figure 4) using correlation obtained the following relation to calculate the magnitude of ridge lower escarpments with the magnitude of the correlation coefficient η ху =0,83: The analysis of the graphical relationship in Figure 4a shows that the ridge lower escarpment coefficient (m K ) is inversely proportional to the velocities ratio ϑ/ϑ 0 , i.e., with a flow rate increase, the ridge lower escarpment becomes steeper. Within values of the lower escarpment coefficient m K =0.1÷1.0, the ridge is washed away."
118927342,4/10,1.0,0.4,"Finally, we remark that we cannot explain the **data** of B(B 0 s → ppK ± π ∓ , ppK + K − ) = (1.5 ± 0.7, 4.6 ± 0.6) × 10 −6 measured by the LHCb [9] due to the lack of the information for the transition form factors ofB 0 s → (K + π − , K + K − ). This calls for the theoretical and experimental studies of the three-body mesonicB 0 s decays that could proceed with theB 0 s → M 1 M 2 transitions, such as theB 0 s → D * − s π + K 0 ,B 0 s → D * 0 π + K − (K + K − ) and B 0 s → ρ − π + K 0 decays with one of the mesons to be a vector one, in order to extract both (h, w − ) in Eq. (6). On the other hand, the observedB 0 s → D 0 K + π − andB 0 s → D 0 K + K − decays [20] are also important as they relate to w − . "
119351763,8/10,1.0,0.8,"Also plotted in Fig. 5, where they are labelled Ha1 and Ha0, are smooth curves representing H a1 and H a0 , the analytic approximations to H m obtained by differentiating the asymptotic equations (6) and (8)  (The corresponding equation for H ✷ = −µ −1 dW ✷ /dǫ is not plotted in Fig. 5: it is practically indistinguishable from H a1 over the appropriate range 0.5 ≤ m ≤ 1.) Both Equations (10) and (11) provide a good fit to dW m /dm over their appropriate **data** ranges, 0 ≤ m ≤ 0.5 for H a0 and 0.5 ≤ m ≤ 1 for H a1 . As one would expect for such asymptotic approximations, the fits are best towards the limits m = 0 and m = 1. Unlike the expressions (6) and (8), from which they are derived, equations (10) and (11) do not lead to coincident values at m = 0.5. That expressions (6) and (8) should yield the same value for W m at m = 0.5 is a remarkable coincidence; that their slopes dW m /dm should also agree there, is scarcely to be expected! In fact the discontinuity between them is in remarkably good agreement with the corresponding step in the **data** for dW m /dm in the vicinity of m = 0.5."
38256305,20/49,1.0,0.408,"There is a strong need to create and improve the systematic and standardized inventory of areas like Koyna that are susceptible to seismic hazards. These hazards can be amplified by local site conditions pertaining to higher ground motions or can be related to secondary effects, such as landslides, liquefaction or compaction. The present study has demonstrated the feasibility of remote sensing and GIS creating a basic, yet standardized dataset, with relatively low financial resources. By using open-source **data** and web gateways to acquire comprehensive geologic, geophysic and geomorphologic information that influences local site conditions in the case of stronger earthquakes."
17671315,26/32,1.0,0.812,"Figure 4 :
4a) The graph of the function ε r (x) for which the **data** are computationally simulated via solution of the forward problem
"
208006088,4/26,1.0,0.154,"Our unifying Mixing Model Hierarchy begins with Linear Mixing Models (LMMs), a simple class of MOGP models typically characterised by low-rank covariance structure. An LMM decomposes a signal f (t) comprising p outputs into a fixed basis h 1 , . . . , h m ∈ R p whose coefficients x 1 (t), . . . , x m (t) are time-varying and modelled independently with Gaussian processes:
f (t) = h 1 x 1 (t) + . . . + h m x m (t) = h 1 · · · h m H x 1 (t) · · · x m (t) T x(t) = Hx(t).
The noisy signal y(t) is, then, generated by adding N (0, Λ)-distributed noise to f (t). Intuitively, this means that the p-dimensional **data** lives in a ""pancake"" around the m-dimensional column space of H, where typically m p."
118522044,28/41,1.0,0.683,"If we consider the transverse susceptibility χ yy , following the argument of the previous paragraphs, we interpret the diagonal entry χāā(ω) of the transport matrix (6.10) as the transverse susceptibility χ yy . The numerical **data** for χ (static) yy are plotted in Figure 10 for c = 1 10 and c = − 3 10 . It is interesting to note that, unlike Re χ "
17837291,1/52,2.0,0.019,"Step 3. Linking theorem. The construction above is functorial, so that if X comes equipped with a torus T action, then the entire construction becomes G = S 1 × T equivariant and not just S 1 equivariant. In particular, the Euler **data** identity is an identity of G-equivariant classes on W d . Our problem is to first compute the G-equivariant classes Q d on W d satisfying the Euler **data** identity, and with the property that A d ∼ α −2 . Note that the restrictions Q d | p to the T fixed points p in X 0 ⊂ W d are polynomial functions on the Lie algebra of G. Suppose that X is a balloon manifold. Then it can be shown that (with a nondegeneracy assumption on e G (X 0 /W d )) the classes Q d are uniquely determined by the values of the Q d | p , when α is some scalar multiple of a weight on the tangent space T p X. These values of Q d | p can be computed explicitly by exploiting the structure of a balloon manifold."
14912634,10/23,1.0,0.435,"To discern the appropriate U for power curves, 10 min power **data** P norm are plotted as a function of (a) nacelle cup anemometer 80 m U, (b) nacelle cup anemometer 'true-flux' equivalent U, (c) SODAR 80 m U, and (d) SODAR 'true-flux' equivalent U for a typical summer day in figure 3. The uncertainty induced by a non-co-located SODAR wind speed in the power curves can be seen in figures 3(c) and (d). When compared with the manufacturer's power curve, the SODAR-based power curves have lower Pearson's coefficient (r) values (r = 0.88-0.89) than the nacelle-based (r = 0.94-0.95). Furthermore, a small improvement (in terms of a higher r value and lower standard deviation of residuals) is evident from using the nacelle-adjusted 'true-flux' equivalent wind speed instead of the nacelle hub-height U ( figure 3(b)). Though small, these differences suggest that the nacelle-adjusted 'true-flux' equivalent wind speed generates the most accurate power curves at this site."
207778550,27/48,1.0,0.562,"ORSphere Caliban a a discarded, see text especially since all criticality measurements involve using almost exactly the same technique? If so, this would cause one to doubt that integral **data** are always the most accurate. This is a valid question that merits further exploration. In this section, we examine this possibility of USU existing in integral benchmark **data** by exploring a relatively simple situation. It is well understood that it is difficult to identify sources of discrepancies and estimate uncertainties in ∆k eff ≡ C−E comparisons for complicated integral benchmarks that incorporate many types of materials and reaction processes. Therefore, we have selected eighteen bare, HEU criticality benchmarks from the ICSBEP catalog that were found to be suitable for this exercise, owing to their relative simplicity and very limited number of materials involved. Being ICSBEP benchmarks for critical assemblies, the experimental values are usually given as a k eff close to unity with an uncertainty u. The given benchmark uncertainty includes both experimental uncertainty as well approximations of the computational model of the benchmark. The selected list, using identification codes from the ICSBEP catalog, is given in Table IX, and ∆k eff comparison results are shown in Fig. 9."
119247546,37/46,1.0,0.804,"The analysis of solutions of equation (49) with for r < r * follows closely the discussion of [13]. It is given here for the sake of completeness. The key observation is that the solution to (49) admits the representation
ω(τ ) = (τ ) ω * + 1 − ς(τ ) (τ ) ζ ,(55)
where (τ ) and ς(τ ) are the solutions to the auxiliary problems − (β 2 +χ) = 0, (0) = 1, (0) = 0,
ς − (β 2 +χ)ς = −1, ς(0) = 1, ς (0) = 0.
That ω as given by (55) is indeed a solution of (49) with the right initial **data** can be verified by directed evaluation. As r * > r , it follows from the observation after equation (50) that β 2 +χ > 0 along the conformal curves under consideration."
229722484,27/39,1.0,0.692,"Figure 10 .
10Transferring of **data** combining Bluetooth and WiFi.
"
246863515,28/44,1.0,0.636,"3. The external validity (S 3 (a) , S 2 (a) , U ) ⊥ G | S 1 , X and overlap
p (S 1 , U, X | A = a, G = E) p (S 1 , U, X | A = a, G = O) < ∞, almost surely. 4. The sequential structure (Y (a), S 3 (a)) ⊥ S 1 | S 2 (a), U, X, G = O.
Note that Assumption 14 consider the most general setting: we allow the treatment assignments in the observational and experimental **data** to depend on pre-treatment outcomes S 1 , and also allow the distribution of S 1 to be different on the two datasets. Now we extend our identification strategy to this setting."
52275756,9/51,1.0,0.176,"The stepwise linear regression (SLR) model is often used to assess the linear relationship between multiple independent variables and it can be used for variable screening and avoided collinearity for soil nutrient prediction [16]. Stepwise regression can also be used for variable screening. SLR can remove the weakly significant variables while retaining those with high contribution rate. In this study, the SLR model was used to identify the optimal combination of input PCs with targets. The linear fitting relationships between hyperspectral auxiliary variables and soil nutrients were also extracted. The SLR model was performed in MATLAB 2013b software. The formula of SLR model (Equation (1)) is defined as follows [32]:
y = b + a 1 x 1 + · · · + a k x k ,(1)
where y is the estimation value of SLR for soil nutrients, b is a regression constant, a 1 , . . . , a k are regression coefficients and x 1 , . . . , x k are the input PCs converted from hyperspectral variables. The support vector machine (SVM) model is a supervised learning method that was used to solve the regression problem in this study. The SVM method can identify the separating optimal hyperplane in multi-dimensional spatial **data** and seeks to minimize the error of all training samples. The SVM model overcomes the limitation of neural networks, which tend to rely on local optimal solutions [33]. Therefore, the SVM model is well suited to soil nutrient prediction with multi-dimensional variables."
119253123,5/32,2.0,0.156,"Corrected **data** are compared to three Monte Carlo models: Pythia 6.4 (tune Perugia-0), Pythia 8.1 (tune 1 [15]) and Phojet 1.12."
54041858,6/45,5.0,0.133,"To understand the intensity and progression of peak and valley events, an energy analysis was performed. For each event the average energy was determined by taking the average of the energies of the two outer sensors. Figure 4 shows the AE event energy versus time for the entire test that were added in sequence to produce Figure 3. Each **data** point represents a single AE event from a discrete source. Significant AE activity occurs at the beginning of the test, primarily in the first few cycles. For most of the test, little AE occurs until the very end of the test. The energy ranges from 0.1 to 50 V 2 /µs until near the end of the test where energies less than 0.01 V 2 /µs were recorded. Since the valley events were only observed at the end of the test (201,990 s), the peak and valley events were plotted separately after 200,000 s in Figure 4b,c, respectively. There were 2156 valley events compared to 1367 events over this period. Valley events were also much more prevalent prior to about 206,000 s. It is also obvious that the valley events tended to be of higher energy than the peak events though both peak and valley showed increasing energy events as time progressed. The peak events contained low and high energies (Figure 4b), including nearly all the very low energy events at the end of the test."
233705419,17/53,2.0,0.321,"The overview of the model shown in Figure 6 illustrates the **data** set used, the target, and influencing parameters, as well as the quality of the model."
119247546,19/46,1.0,0.413,"In order to write the conformal curve equations (24a)-(24b) for the Reissner-Nordström metric, it is noticed that the metric l in the warped product line element (23) is given by
l = D(r)dt ⊗ dt − D −1 (r)dr ⊗ dr. Equations (24a)-(24b) implyt + ∂rD(r) D(r)r t = 1 D(r) βr ,(32a)r − ∂rD(r) 2D(r)r 2 + D(r)∂rD(r) 2t 2 = D(r)βt ,(32b)
where consistent with the notation of section 3.2 we have setr ≡ r(τ ),t ≡ t(τ ). Initial **data** for these equations is prescribed by observing the discussion of Section 4.1, and by requiringẋ to be given initially by the unit normal toS. It follows that
t * = 0, r * > r + ,t * = 1 √ D * ,r * = 0, (b t ) * = 0, (b r ) * = − 2 r * ,(33)whereb t ≡ b , ∂ t ,b r ≡ b , ∂ r .
Notice that r * =r * , t * =t * . As a consequence of the symmetry of the hypersurfaceS with respect to the bifurcation sphere at r * = r + , it is only necessary to consider the case r * > r + . The equations (32a)-(32b) can be decoupled by making use of thẽ g-normalisation condition
D(r)t 2 − 1 D(r)r 2 = 1.(34)
Solving the latter for t ≥ 0 and substituting into (32b), one obtains that
r + 1 2 ∂rD(r) − β D(r) +r 2 = 0.(35)
This equation can be integrated once to yield
D(r) +r 2 − βr = γ,
where γ is a constant given in terms of the initial **data** by
γ = − D * . It follows thatr = ± (γ + βr) 2 − D(r),(36)
with the sign depending on the value of r * ."
119583676,10/16,1.0,0.625,"Theorem 1 . 2 .
12In dimension 2, given any initial **data** in H T n , the Calabi flow exists for all time in H T n and the curvature is uniformly bounded along the flow.
"
207778550,20/48,4.0,0.417,"Note that the selected fifteen experimental values do not include any outliers and their evaluation generated a χ 2 /df that is very close to one. Dividing the **data** points into three groups, according to the measurement technique, gives statistically coherent results in spite of the fact that large differences between mean values derived using different methods were observed [81,82]."
19033986,3/28,1.0,0.107,"Electrons generated by DM lose essentially all their energy via Inverse Compton scattering, e ± γ → e ± γ , on ambient light with average energy E γ ∼ eV. Such scatterings give rise to photons with larger energy E γ ∼ E γ (E e /m e ) 2 ∼ 10 GeV, which is in the energy range being probed by FERMI. As discussed below, this DM ICS γ flux is only marginally affected by astrophysical and DM distribution uncertainties. The reasons for this can be traced back to two observations: (i) Far away from the Galactic Center, the DM uncertainties are relatively mild. (ii) As we will see in Section 4, all DM models that fit the **data** predict roughly the same e ± spectrum, as it is now mostly fixed by the new measurements (given the new FERMI and HESS results). Thereby the DM ICS spectrum is well predicted. As already illustrated in fig. 1 it is not much below the first FERMI diffuse γ-ray data, released for energies ≤ 10 GeV in a specific angular region. Therefore, if the e ± excess is due to DM, FERMI is expected to observe an associated γ excess which is not sensitive to the specific DM model or DM density profile. Whether such an excess is seen or not, will decisively implicate on the DM (or any other mechanisms that produces e ± in a spherical region away from the galactic plane) interpretation of the measured excesses. Alternative scenarios involve e ± generated locally (e.g. by a powerful pulsar) or along the galactic plane (e.g. by supernovae)."
117119864,40/83,4.0,0.482,"Another important point concerns the bulk sensitivity of the CeRu2Si2 ARPES **data** of Ref. [18]. These spectra were not measured at the high photon energies that enhance bulk sensitivity and which are generally necessary [23] for bulk sensitive Ce 4f studies. However it was found [18,78] that some cleaved surfaces yield 4f spectra at low photon energies, e.g. in RESPES at the Ce 4d edge, that are essentially the same as those at high photon energy, e.g. RESPES at the Ce 3d edge. Such surfaces were used to obtain the **data** of Ref. [18]. The explanation [83] probably lies in the particular crystal structure of CeRu2Si2, which admits of two cleavages, one that exposes Ce at the top layer and another that places Ce in a buried layer. The latter situation is expected to enable bulk sensitive studies even at lower photon energies."
126349038,1/28,4.0,0.036,"Flow-field velocities were measured using a towed underwater TPIV system at 10 y-z planes at x¼ 0.06, 0.1, 0.12, 0.2, 0.3, 0.4, 0.6, 0.8, 0.935, and 1.0, as shown in Figs. 1(a) and 1(b). The TPIV resolution was 1 mm in all directions (D x ¼ 0.00033L) and the **data** rate was 13 Hz. The **data** were postprocessed to obtain averaged velocity field (U,V,W), TKE and axial vorticity x x . The averaged flow field **data** were obtained by ensemble averaging over ten repeat runs of 20 s. For b ¼ 0 deg, small static drift asymmetry b asym adjustments were made for improved flow field center plane symmetry, i.e., b asym ¼ 1 deg for x ¼ 0.06-0.2, b asym ¼ 0.5 deg for x ¼ 0.3 and 0.4, and b asym ¼ 0 deg for x ¼ 0.6-1. 2 The Nomenclature provides the definitions of solution and N-version V&V. The references provide the detailed derivations and discussions. Tomographic particle image velocimetry 3D volumes were analyzed along the primary vortices at all 10 y-z planes, namely SDV and FBKV for b ¼ 0, and sonar dome (SDTV) and bilge keel (BKTV) tip vortices for b ¼ 10 deg and 20 deg. Bhushan et al. [15] DES and URANS vortex structure predictions were used to determine the regions of interest for the TPIV measurements. The **data** were post processed to obtain the vorticity components (x x, x y, x z ), second and third invariants of the deformation-rate tensor Q and k 2 in addition to the mean and turbulent flow variables obtained for the planar data. Unsteady analysis was performed for b ¼ 20 deg forces and moment, and velocity and Q at six points along primary vortices using fast Fourier transform (FFT) of their time histories."
