corpusid,section,subsection,section_pos_in_pct,text
2423505,2/23,1.0,0.087,"As mentioned in the introduction, the shortage of labeled **data** is a fundamental problem for applied machine learning. It is important enough that several areas of research is devoted to various aspects of this problem. In the active learning paradigm, labels are acquired in an interactive fashion to maximize the benefit of each new label [Kapoor et al., 2007]. Related approaches include [Branson et al., 2011], where a 'human-in-the-loop' determines which labels to update, thus making the 'most' out of the acquired labels. Crowd sourcing through, e.g. Amazon mechanical turk (mTurk), allows for rapid collection of large amounts of labels, and much research is devoted to the efficient distribution of tasks and the interpretation and weighting of retrieved labels [Welinder et al., 2010]. Further areas include weakly supervised method, e.g. multiple instance learning [Dietterich et al., 1997] or latent structureal SVMs [Yu and Joachims, 2009] where the level of supervision is lower than the given task demands. Other approaches include semi-supervised learning that make use of small amounts of labelled **data** together with large amounts of unlabeled data. Notably the concept of co-training [Blum and Mitchell, 1998] is a popular approach."
246337567,1/70,2.0,0.014,"LD that is published under an open license is known as linked open **data** (LOD) (Berners-Lee 2006). LOD is classified according to a Five Star rating system, and to be considered Five Star, a LD dataset must contain interlinks to related **data** (Berners-Lee 2006;Kim and Hausenblas 2015). The purpose of these LD interlinks is to enhance the knowledge associated with a specific entity (Papaleo et al. 2014). These interlinks have the potential to transform the Web into a globally linked and searchable database, rather than a disparate collection of documents (W3C 2015). Many metadata standards used in libraries, archives, and museums (LAMs) cannot be processed by Web search engines; thus a significant amount of relevant content is not visible in Web search results (Guerrini and Possemato 2016;Pesch and Miller 2016). Metadata published as RDF, however, are easily processed by SW search engines (Schilling 2012)enhancing **data** discoverability and visibility. Cross-institutional metadata interlinking would allow for easier, more efficient querying and discovery of LAM materials (Alemu et al. 2012;Coyle 2013;Seeman and Goddard 2015)."
249538382,7/22,1.0,0.318,"To create high-quality ERP system **data** and increase rigor, we develop requirements for our **data** based on prior work. We follow Baader et al. [4], who find several requirements for both their developed **data** generator and the resulting data. We also draw additional requirements from previously conducted design science research that aims to develop a fraud detection system in the ERP domain. Here, Fuchs et al. [7] aggregate requirements for detection systems that are able to highlight fraud in ERP systems. Some of their requirements describe design decisions that need to be respected during implementation of the fraud detection approach and are unaffected by the studied **data** (e.g. requiring adaptable or intelligent logic). Other requirements, however, describe scenarios in which fraud detection approaches should yield satisfying performance (e.g. detection of outliers in values). We argue that **data** should be created such that the performance of fraud detection approaches can be validated in these scenarios, and therefore identify these requirements as directly relevant for our **data** generation process. Figure 1 gives an overview of the requirements in the preliminary work of Baader et al. [4] as well as the requirements we identify as relevant to our **data** generation process from Fuchs et al. [7]. We additionally note the resulting measures we take in our proposed **data** generation scheme to satisfy these requirements."
55648852,20/40,7.0,0.5,"The Italian OBS **data** available at the time of this report are only those recorded by the broadband OBSs. These **data** are saved in SAC files and therefore easy to handle. The procedure was the same as for the rest of data, obtaining .mat files as the final format.  "
233705419,1/53,1.0,0.019,"In this paper, the focus is on the formalization of expert knowledge and its use for test design and integration into different machine learning (ML) algorithms. The formalization of expert knowledge from different domains (e.g., expertise regarding plant mechanical Processes 2021, 9, 515 2 of 12 processes and knowledge about thermo-chemical and other physical mechanisms of chemical processes) is particularly challenging and reveals the uniqueness of the presented approach. Due to the lack of data, deep neuronal networks cannot always be trained, and other ML algorithms must be combined to quantify and expand expert knowledge from different domains. Figure 1 shows the continuous learning procedure and the interaction between the different parts of an AI-based hybrid model, i.e., **data** measurement, expert knowledge, and ML algorithms with special metrics for automated evaluation (autoML) [5]. With this procedure, expert knowledge can be continuously quantified, and the understanding of the plant and chemical processes can be expanded."
146010542,11/17,1.0,0.647,"""Man in the middle"" (MITM/MIM) is a kind of malware which relies on SSL/TSL protocol weakness, being correspondent in communication between two network users (Čekerevac et al., 2017;Mallik et al., 2019). In such a case, downloading of important **data** occurs while users can rarely detect it. 7."
245105154,9/25,1.0,0.36,"The chosen simulation scenario represented a simple sensing application where end devices sense and transmit **data** to the gateway at 1-h intervals. This type of application was relevant enough for the researchers to use to collect performance **data** about the different algorithms. In this research experiment, this application involved the end devices sending 20-byte packets to the gateways every 1 h. The end devices and the gateway adhered to the 1% duty cycle required by applications operating in the European ISM band [14]. All simulation scenarios mentioned lasted for one week and were executed ten times as in [8]."
119479526,1/29,1.0,0.034,"High quality thermodynamic property models are the key to calculating numerous other properties and predicting complex material behaviors. Researchers construct these models through a process called assessment [1] whereby experimental and computational information regarding material properties is used to evaluate the optimal mathematical forms that relate properties to parameters such as temperature, pressure and composition. Thermodynamic assessments present numerous challenges: the presence of outliers, missing or underestimated errors in datasets and systematic errors are commonplace. Furthermore, it is critical to select model forms that match the trends in the **data** and are based on the physics and chemistry of the material. These complex judgments are the sole responsibility of the practitioner and are rarely quantitatively expressed in the final models. Bayesian statistical methods provide an opportunity to address each of these challenges in a robust and comprehensive manner."
232380196,1/28,1.0,0.036,"In the real world, the image classes are normally presented in a long-tailed distribution [25]. While some common classes (head classes) can have sufficient image samples, some uncommon or rare categories (tail classes) can be underrepresented by limited samples. The **data** imbalance poses great challenge to learning unbiased classifiers."
52141668,11/16,1.0,0.688,"Figure 1 :
1Proportion of **data** used for experiment
"
184487142,14/47,1.0,0.298,"Empirical defenses are empirically robust to existing adversarial attacks, and the best empirical defense so far is adversarial training [20,25]. In this kind of defense, a neural network is trained to minimize the worst-case loss over a neighborhood around the input. Although such defenses seem powerful, nothing guarantees that a more powerful, not yet known, attack would not break them; the most that can be said is that known attacks are unable to find adversarial examples around the **data** points. In fact, most empirical defenses proposed in the literature were later ""broken"" by stronger adversaries [4,2,35,1]. To stop this arms race between defenders and attackers, a number of work tried to focus on building certified defenses which enjoy formal robustness guarantees."
