,corpusid,section,subsection,text,wc,_id,externalids,url,title,authors,venue,publicationvenueid,year,referencecount,citationcount,influentialcitationcount,isopenaccess,s2fieldsofstudy,publicationtypes,publicationdate,journal,updated,field,x,y,labels,corpusid_unique,section_pos_in_pct,x_centered,y_centered
2491,249020159,17/25,1.0,"The raw **data** supporting the conclusions of this article will be made available by the authors, without undue reservation.",19,63e54cbcd013a649c4e44480,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': None, 'CorpusId': '249020159', 'PubMed': '35693957', 'DOI': '10.3389/fpsyt.2022.830926', 'PubMedCentral': '9174530'}",https://www.semanticscholar.org/paper/b9753c83ab03f0810659cf77af584b014c352e5e,Increased Autonomic Reactivity and Mental Health Difficulties in COVID-19 Survivors: Implications for Medical Providers,"[{'authorId': '7453557', 'name': 'L. Dale'}, {'authorId': '7886999', 'name': 'S. Cuffe'}, {'authorId': '8517159', 'name': 'J. Kolacz'}, {'authorId': '2142600262', 'name': 'Kalie G. Leon'}, {'authorId': '2166141544', 'name': 'Nadia Bossemeyer Biernacki'}, {'authorId': '12218283', 'name': 'Amal Bhullar'}, {'authorId': '2083068975', 'name': 'E. Nix'}, {'authorId': '4226466', 'name': 'S. Porges'}]",Frontiers in Psychiatry,07931092-9002-4e9f-a62d-00af30be540f,2022.0,60,1,0,False,"[{'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 'external'}]",['JournalArticle'],2022-05-25,"{'name': 'Frontiers in Psychiatry', 'pages': None, 'volume': '13'}",2022-12-17T05:37:08.165Z,Medicine,12.2809305,10.120155,19,249020159_17/25_1,0.68,0.5832318470782152,1.5103285780242732
2492,221825477,16/17,1.0,"Impairment in consciousness and cognition can occur in the setting of a primary neurologic disease (e.g., hypoxicischemic, hemorrhagic, or traumatic brain injury), or as a consequence of a systemic insult (e.g., toxic, metabolic, and/or infectious processes). Invariably, an interplay of multiple factors concurrently contributes to the development of encephalopathy. As a result, predicting the short-and long-term consequences of impaired consciousness and cognition remains a challenge, in which the self-fulfilling prophecy bias of premature pessimistic outcome predictions plays an important role [75,76]. Key disease-specific knowledge gaps in neuroprognostication have been recently unveiled in a joint statement from the German Neurocritical Care Society and the Neurocritical Care Society [77]; future studies should account for these limitations. Population-derived disease severity scores are incorrectly used to ascertain long-term individual prognostic trajectories. Further, these scores are not dynamic and are frequently inaccurate. Accurate neuroprognostication is crucial to guide critical care resource allocation and to guide families in goals of care discussions; thus, it is imperative to improve tools for prognostication in neurocritically ill patients. cEEG monitoring provides dynamic information on brain physiology, and it can be used as a noninvasive biomarker that correlates with level of consciousness [78] and neurological recovery [79]. Machine learning has been demonstrated to be a promising tool to analyze EEG **data** and unveil patients with preserved awareness by means of electroencephalographic activation in patients with acute brain injury [78]. This state known as ""cognitive motor dissociation"" was previously demonstrated in chronically unresponsive patients [80], and more recently in acute brain injury [78,81]. Similarly, the use of machine learning and quantitative analysis of longitudinal EEG signals shows promise in improving accuracy of commonly employed neurophysiologic predictors of outcome after cardiac arrest, such as background reactivity, epileptiform activity, and background continuity [79,82].",290,63e5357a2b2577cbfa61077f,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '3087399911', 'CorpusId': '221825477', 'PubMed': '32959201', 'DOI': '10.1007/s12028-020-01085-0', 'PubMedCentral': '7736003'}",https://www.semanticscholar.org/paper/5d84d6d9d3a675bc1e61b3b3f33c2471558a8fd0,Proceedings from the Neurotherapeutics Symposium on Neurological Emergencies: Shaping the Future of Neurocritical Care,"[{'authorId': '40629805', 'name': 'A. Simpkins'}, {'authorId': '1866731', 'name': 'K. Busl'}, {'authorId': '35109512', 'name': 'E. Amorim'}, {'authorId': '1402214019', 'name': 'Carolina Barnett-Tapia'}, {'authorId': '2550815', 'name': 'M. Cervenka'}, {'authorId': '50761855', 'name': 'M. Dhakar'}, {'authorId': '2330694', 'name': 'M. Etherton'}, {'authorId': '48275781', 'name': 'Celia Fung'}, {'authorId': '145379468', 'name': 'R. Griggs'}, {'authorId': '2546853', 'name': 'R. Holloway'}, {'authorId': '49509895', 'name': 'A. Kelly'}, {'authorId': '1932231123', 'name': 'I. Khan'}, {'authorId': '3614696', 'name': 'K. Lizarraga'}, {'authorId': '2192722559', 'name': 'Hannah G. Madagan'}, {'authorId': '22255010', 'name': 'Chidinma L. Onweni'}, {'authorId': '48786691', 'name': 'H. Mestre'}, {'authorId': '2766717', 'name': 'A. Rabinstein'}, {'authorId': '49980002', 'name': 'C. Rubinos'}, {'authorId': '1403920505', 'name': 'Dawling A. Dionisio-Santos'}, {'authorId': '5215108', 'name': 'Teddy S Youn'}, {'authorId': '3671231', 'name': 'Lisa H. Merck'}, {'authorId': '2682684', 'name': 'C. Maciel'}, {'authorId': None, 'name': 'Edilberto Carolina Jeremy Katharina M. Mackenzie Jan Monica  Amorim Barnett-Tapia Brown Busl Cervenka Claassen '}, {'authorId': '35109512', 'name': 'E. Amorim'}, {'authorId': '1402214019', 'name': 'Carolina Barnett-Tapia'}, {'authorId': '2118293019', 'name': 'Jeremy Brown'}, {'authorId': '1866731', 'name': 'K. Busl'}, {'authorId': '2550815', 'name': 'M. Cervenka'}, {'authorId': '144258736', 'name': 'J. Claassen'}, {'authorId': '50761855', 'name': 'M. Dhakar'}, {'authorId': '5036252', 'name': 'Layne Dylla'}, {'authorId': '5563233', 'name': 'Marie-Carmelle Elie'}, {'authorId': '2330694', 'name': 'M. Etherton'}, {'authorId': '2075116223', 'name': 'K. Fiscella'}, {'authorId': '4371386', 'name': 'B. Foreman'}, {'authorId': '48261228', 'name': 'P. Forgacs'}, {'authorId': '8892179', 'name': 'R. Griggs'}, {'authorId': '3414995', 'name': 'M. Halterman'}, {'authorId': '6783032', 'name': 'A. Harriott'}, {'authorId': '2168446186', 'name': 'L. Hirsch'}, {'authorId': '3377043', 'name': 'S. Hocker'}, {'authorId': '2129473631', 'name': 'Robert Holloway'}, {'authorId': '1958256417', 'name': 'Rebecca Jules'}, {'authorId': '49509895', 'name': 'A. Kelly'}, {'authorId': '2073253317', 'name': 'D. Lackland'}, {'authorId': '1396653858', 'name': 'M. Lerario'}, {'authorId': '3614696', 'name': 'K. Lizarraga'}, {'authorId': '2682684', 'name': 'C. Maciel'}, {'authorId': '3671231', 'name': 'Lisa H. Merck'}, {'authorId': '2192723644', 'name': 'Gordon Mitchell'}, {'authorId': '5609022', 'name': 'Laura B. Ngwenya'}, {'authorId': '144896492', 'name': 'R. Nogueira'}, {'authorId': '3603448', 'name': 'Clifford A Pierre'}, {'authorId': '47148431', 'name': 'J. Provencio'}, {'authorId': '2192721915', 'name': 'Alejandro A. Rabenstein'}, {'authorId': '33359675', 'name': 'Debra E. Roberts'}, {'authorId': '49980002', 'name': 'C. Rubinos'}, {'authorId': '145365018', 'name': 'E. Scharf'}, {'authorId': '144866287', 'name': 'K. Sheth'}, {'authorId': '40629805', 'name': 'A. Simpkins'}, {'authorId': '2173070833', 'name': 'Cleopatra Thurman'}, {'authorId': '31440460', 'name': 'L. Ullrich'}, {'authorId': '47288926', 'name': 'C. Zammit'}]",Neurocritical Care,9d7faca1-3c32-43f3-8021-8754cee54d2e,2020.0,90,1,0,True,"[{'category': 'Psychology', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 'external'}]",['JournalArticle'],2020-09-21,"{'name': 'Neurocritical Care', 'pages': '636 - 645', 'volume': '33'}",2022-11-30T17:27:28.150Z,Psychology,10.672667,10.926248,-1,221825477_16/17_1,0.941,-1.0250316529217844,2.316421578024272
2498,9496541,2/9,1.0,"Another defining feature of vignette studies is that they employ participant-reported **data** collection strategies (i.e., self-reported responses to questions about the vignette), which are characteristic of traditional survey methodologies. These strategies can include quantitative and/or qualitative approaches that provide standardized questions to be answered by all participants. Just as vignette equivalence ensures the consistency of the experimental stimuli, response consistency----where items and response options are standardized for all participants----ensures that the **data** gathered are interpretable in a consistent manner, allowing meaningful conclusions to be drawn (e.g., Gould, 1996;Ludwick et al., 2004).",91,63e550005728175ba32e5096,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2050607941', 'CorpusId': '9496541', 'PubMed': '30487833', 'DOI': '10.1016/j.ijchp.2014.12.001', 'PubMedCentral': '6224682'}",https://www.semanticscholar.org/paper/479c0136a7c14938907f49e4a830b8f12227129f,"Vignette methodologies for studying clinicians’ decision-making: Validity, utility, and application in ICD-11 field studies☆","[{'authorId': '33325809', 'name': 'Spencer C. Evans'}, {'authorId': '115248640', 'name': 'M. Roberts'}, {'authorId': '1800536', 'name': 'J. Keeley'}, {'authorId': '9637982', 'name': 'J. Blossom'}, {'authorId': '4459305', 'name': 'Christina M. Amaro'}, {'authorId': '112949687', 'name': 'Andrea M Garcia'}, {'authorId': '39647806', 'name': 'C. Stough'}, {'authorId': '2775658', 'name': 'Kimberly S. Canter'}, {'authorId': '145338496', 'name': 'Rebeca Robles'}, {'authorId': '2276085', 'name': 'G. Reed'}]",International Journal of Clinical and Health Psychology,3adac393-b39c-4680-b9b9-8f2023c1ed33,2015.0,75,389,18,False,"[{'category': 'Psychology', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}]","['JournalArticle', 'Review']",2015-01-29,"{'name': 'International Journal of Clinical and Health Psychology : IJCHP', 'pages': '160 - 170', 'volume': '15'}",2023-01-24T20:03:53.786Z,Psychology,14.369601,10.125321,16,9496541_2/9_1,0.222,2.6719023470782144,1.5154945780242723
2499,118656364,25/51,1.0,"In this section we study the simplest non-abelian case, corresponding to two M5-branes wrapped on S 2 , or equivalently we study the reduction of the 5d U (2) theory to 4d on an interval with Nahm pole boundary conditions. The flat 4d theory is given by a map into the 2-monopole moduli space M 2 , with the action given in (4.30). For the curved space theory we find a description in terms of a sigma-model into S 1 × R ≥0 supplemented by self-dual two-forms obeying some constraints. We provide a detailed analysis of the geometrical **data** 9 The factor i is due to our conventions in which A θ is purely imaginary. 10 These transformations correspond to gauge group elements g = e iα(θ) with α(0) = 0 and α(π) = 2πn. The quantization of n is required for g to be trivial at the endpoints of the θ interval.",153,63e53e754d1527b9f5df9138,"{'ACL': None, 'DBLP': None, 'ArXiv': '1604.03606', 'MAG': '2950549749', 'CorpusId': '118656364', 'PubMed': None, 'DOI': '10.1007/JHEP09(2016)120', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/8ed67657a2f1e739d4d14b8d261e1e9ddd6dbe50,M5-branes on S2 × M4: Nahm’s equations and 4d topological sigma-models,"[{'authorId': '102142194', 'name': 'Benjamin Assel'}, {'authorId': '1403770599', 'name': 'S. Schäfer-Nameki'}, {'authorId': '121536097', 'name': 'Jin‐Mann Wong'}]",,,2016.0,77,17,2,True,"[{'category': 'Mathematics', 'source': 's2-fos-model'}, {'category': 'Physics', 'source': 'external'}]",,2016-04-12,"{'name': 'Journal of High Energy Physics', 'pages': '1-70', 'volume': '2016'}",2023-01-21T19:44:13.063Z,Mathematics,10.308732,4.4133863,-1,118656364_25/51_1,0.49,-1.388966652921786,-4.196440121975727
2507,20394919,1/2,1.0,"Data on all primary diabetes foot-related admissions in Queensland from 2005-2010 was obtained using diabetes foot-related ICD-10-AM (hospital discharge) codes. Queensland diabetes foot-related admission incidences were calculated using general population **data** from the Australian Bureau of Statistics. Furthermore, diabetes foot-related sub-group admissions were analysed. Chi-squared tests were used to assess changes in admissions over time.",55,63e54f355728175ba311a211,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2133874890', 'CorpusId': '20394919', 'PubMed': None, 'DOI': '10.1186/1757-1146-6-S1-P8', 'PubMedCentral': '3668979'}",https://www.semanticscholar.org/paper/fffafd38263ce265633ed79baf0304ed2e630cab,Queensland diabetic foot hospitalisations (2005-10): in what state is our foot hospital problem?,"[{'authorId': '2484946', 'name': 'P. Lazzarini'}, {'authorId': '1398371695', 'name': 'S. O’Rourke'}, {'authorId': '1937197', 'name': 'A. Russell'}, {'authorId': '4312665', 'name': 'P. Derhy'}, {'authorId': '1854609', 'name': 'M. Kamp'}]",Journal of Foot and Ankle Research,910f05b9-f423-44fc-9fc1-c6b3d2481fe0,2013.0,4,0,0,True,"[{'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 'external'}]",,2013-05-31,"{'name': 'Journal of Foot and Ankle Research', 'pages': 'P8 - P8', 'volume': '6'}",2023-01-27T00:35:53.052Z,Medicine,14.137252,11.490041,-1,20394919_1/2_1,0.5,2.439553347078215,2.8802145780242725
2509,251711372,118/119,1.0,"While our study provides insightful implications, it is important to keep in mind its limitations. A key ingredient in an event study involves the date(s). Regarding the emergence of COVID-19, we make use of the official date of the declaration of the disease as a global pandemic by the WHO, i.e., March 11, 2020. Other studies look at the impact of other important different dates related to COVID-19 (e.g., Ashraf, 2020a, Ashraf, 2020bHeyden and Heyden, 2021), such as: (i) the date of the first COVID-19 confirmed case in the country; or (ii) the date of the first COVID-19 death in the country. Regarding key **data** on COVID-19 vaccines, we use a single date for each vaccine: when the vaccine effectiveness was announced as against the dates of vaccine trials. This choice is justified by the fact that vaccine development is a lengthy and uncertain process that generally takes around 10-15 years to complete before the vaccine can be mass-produced for public use (e.g., Chan et al., 2021). Despite the fact that the start of each phase marks a milestone in vaccine development because it (i) indicates the successful completion of the previous phase and (ii) boosts people's belief that the vaccine has a higher likelihood of progressing to the next stage, industry statistics show that only one-sixth of all vaccine candidates that undergo human clinical trials obtain final approval for mass production (Chan et al., 2021). Therefore, a more significant impact is to be expected when the vaccine is accepted by the regulators for mass population vaccination. We are aware that the magnitude of the impact of the emergence of COVID-19 and vaccine effectiveness announcements was influenced by the chosen dates.",281,63e5454d69422edf8b006e0f,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': None, 'CorpusId': '251711372', 'PubMed': '36034526', 'DOI': '10.1016/j.jairtraman.2022.102281', 'PubMedCentral': '9393161'}",https://www.semanticscholar.org/paper/b8dce6411979f4c45da8bf3b1ad76d36ccb2a748,Airline stock markets reaction to the COVID-19 outbreak and vaccines: An event study,"[{'authorId': '50480699', 'name': 'António Miguel Martins'}, {'authorId': '120293351', 'name': 'Susana Cró'}]",Journal of Air Transport Management,dd375d75-7a05-469d-beef-17647ae99785,2022.0,60,5,0,False,"[{'category': 'Business', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 'external'}]",['JournalArticle'],2022-08-22,"{'name': 'Journal of Air Transport Management', 'pages': '102281 - 102281', 'volume': '105'}",2023-01-24T14:18:54.560Z,Business,10.757049,10.447162,-1,251711372_118/119_1,0.992,-0.9406496529217847,1.8373355780242733
2512,233438695,44/62,2.0,"Data collection for the 'neighbouring' pillar required referring directly to the neighbourhood inhabitants for which we conducted a household survey across the case study neighbourhoods. A questionnaire was designed in which each indicator was developed into a set of questions in order to gain an in-depth knowledge regarding different aspects of each indicator. After piloting the questionnaire and finalising it, a household survey was conducted in case study neighbourhoods. Distribution took place based on a spatially stratified non-representative systematic random sampling using drop and collect method as it results in a higher response rate [107,108]. A second collection round was arranged in case respondents could not complete the questionnaire in the first collection round. In total 1304 questionnaires were distributed, 488 returned. This provided us with sufficient critical mass for undertaking relevant statistical analyses for our purpose [109]. We used SPSS software for **data** processing, and ran descriptive analysis, correlation analysis, and crosstabular analysis, to study the value and status of each indicator and the relationship between them. Results were scored between 0 and 200 so that each indicator received a score between 0 (lowest) and 200 (highest) showing the value of the indicators.",194,63e542b22a2a7b22bdcff2f3,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '3131464947', 'CorpusId': '233438695', 'PubMed': None, 'DOI': '10.3390/SU13042340', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/47a93217d6a6687ddcb3296e8744cdb5ad7d9dde,Social Sustainability of Compact Neighbourhoods Evidence from London and Berlin,"[{'authorId': '7591994', 'name': 'M. Shirazi'}, {'authorId': '1859549', 'name': 'Ramin Keivani'}]",Sustainability,8775599f-4f9a-45f0-900e-7f4de68e6843,2021.0,195,5,0,False,"[{'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 'external'}]",,2021-02-22,"{'name': 'Sustainability', 'pages': None, 'volume': None}",2023-01-22T11:50:44.847Z,Sociology,15.305777,10.150662,8,233438695_44/62_2,0.71,3.608078347078216,1.5408355780242733
2514,38256305,2/49,1.0,"Pore pressure diffusion is considered to play a key role in controlling the occurrence of earthquakes associated with Koyna and Warna reservoir [8][9][10][11][12][13][14][15][16][17][18][19]. Hence, the prevalent fault structure and tectonic setting in the region that influence seismicity need further investigation. The detailed inventory preparation of the near-surface fault and fracture pattern is likely to help detect relatively high permeable areas that allow intrusion and infiltration of surface water. Towards this end, satellite **data** were harnessed to detect near-surface fault and fracture zones and to understand the structural pattern via visual lineament analysis. The Sentinel satellite radar images available since 2015 from ESA are assumed to delineate sub-surface structures whose subtle morphological details are enhanced, which were earlier lacking in detail, due to radar backscatter of the surface. Landsat 8 **data** available since 2013 are also seen to show improvement when compared to previous Landsat missions because of enhanced radiometric and thermal resolutions. One of the goals of the present paper was to investigate whether additional structural/tectonic information can be gleaned from these newly-available satellite data.",175,63e51e8f8296e79cfbf400ad,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2326663085', 'CorpusId': '38256305', 'PubMed': None, 'DOI': '10.3390/GEOSCIENCES6020020', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/5bac1f9e2f98ebe7a45092a5aa9d0781491e6238,"Seismic Hazard Analysis along Koyna Dam Area, Western Maharashtra, India: A Contribution of Remote Sensing and GIS","[{'authorId': '1405327117', 'name': 'B. Theilen-Willige'}, {'authorId': '46240960', 'name': 'S. Aher'}, {'authorId': '102318461', 'name': 'P. Gawali'}, {'authorId': '104563523', 'name': 'Laxmi B. Venkata'}]",,,2016.0,51,12,0,True,"[{'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Geology', 'source': 's2-fos-model'}, {'category': 'Geology', 'source': 'external'}]",,2016-04-07,"{'name': '', 'pages': '20', 'volume': '6'}",2023-01-20T08:46:34.493Z,Environmental Science,11.458496,8.548036,-1,38256305_2/49_1,0.041,-0.23920265292178478,-0.06179042197572748
2518,196643668,16/34,1.0,"We used BWA version 0.6.2 (Li & Durbin, 2009) to align the next generation sequencing **data** to the BTx623 sorghum reference genome sequence (version 2.1; Patterson, 2009) which was downloaded from Phytozome (Goodstein et al., 2012). Suffix array co-ordinates for each query sequence were generated using the BWA aln command with non-default parameters: ""-t 8"". Paired end alignments were generated using the BWA sampe command with non-default parameters: ""-P -r ""@RG\tID:SampleID\tSM:SampleName\tPL:Illumina"" "". In the case of the single-end reads, sequence alignments were produced using the BWA samse command. Sequencing **data** and mapping statistics were obtained using the SAMtools flagstat command with default parameters. Genome coverage statistics were generated from the sequence alignment files using the combination of SAMtools and BEDTools (Quinlan & Hall, 2010). We used the SAMtools view command to uncompressed BAM files and sent the results to standard output. We then used the BEDTools genomeCoverageBed command to estimate the coverage depth from the uncompressed alignment BAM output. The SAMtools view command parameter options were ""-u -q 0"", while the BEDTools genomeCoverageBed command parameter options were ""-ibam stdin -g "".",181,63e52c8d52b32d61253e6733,"{'ACL': None, 'DBLP': None, 'ArXiv': None, 'MAG': '2951011357', 'CorpusId': '196643668', 'PubMed': None, 'DOI': '10.1101/045427', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/91cb64a6d3ecb43a0901e5aee9b2a57c32f80ef0,Forward genetics by sequencing EMS variation induced inbred lines,"[{'authorId': '1422263322', 'name': 'Charles Addo-Quaye'}, {'authorId': '40510618', 'name': 'Elizabeth M. Buescher'}, {'authorId': '47338957', 'name': 'Norman B. Best'}, {'authorId': '3984930', 'name': 'V. Chaikam'}, {'authorId': '1963666', 'name': 'I. Baxter'}, {'authorId': '4827718', 'name': 'B. Dilkes'}]",bioRxiv,027ffd21-ebb0-4af8-baf5-911124292fd0,2016.0,58,0,0,True,"[{'category': 'Biology', 'source': 's2-fos-model'}, {'category': 'Biology', 'source': 'external'}]",,2016-03-24,"{'name': 'bioRxiv', 'pages': None, 'volume': None}",2023-01-22T15:19:21.409Z,Biology,12.805521,12.458888,26,196643668_16/34_1,0.471,1.1078223470782156,3.8490615780242727
2532,119479526,10/29,1.0,"We have collected all available specific heat and enthalpy **data** of Hafnium metal for the alpha, beta and liquid phases from the published texts, correcting for Zirconium content and temperature scale when appropriate 1 . We only exclude the measurements of Cristescu [36] as the work makes no mention of the purity of the Hafnium sample. We prioritize original measurements over the published fits of the measurements.",67,63e51dc98296e79cfbd92e04,"{'ACL': None, 'DBLP': None, 'ArXiv': '1809.07365', 'MAG': '2951794080', 'CorpusId': '119479526', 'PubMed': None, 'DOI': '10.1016/J.IJENGSCI.2019.05.011', 'PubMedCentral': None}",https://www.semanticscholar.org/paper/6a055a161100858099e07363a299f6a92dbe6d9b,Bayesian strategies for uncertainty quantification of the thermodynamic properties of materials,"[{'authorId': '102768252', 'name': 'Noah H. Paulson'}, {'authorId': '49430957', 'name': 'E. Jennings'}, {'authorId': '145031919', 'name': 'M. Stan'}]",International Journal of Engineering Science,02d10b3a-d2f6-4c55-bf63-52e48d0f43d2,2018.0,74,24,1,True,"[{'category': 'Materials Science', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Physics', 'source': 'external'}, {'category': 'Materials Science', 'source': 'external'}]",,2018-09-19,"{'name': 'International Journal of Engineering Science', 'pages': None, 'volume': None}",2023-01-04T16:02:26.521Z,Materials Science,8.450045,5.4917173,-1,119479526_10/29_1,0.345,-3.2476536529217856,-3.118109121975727
