_id,corpusid,venue,par_id,text,wc,corpusid_unique,is_data_availability
648a31c51b9b6784785ef4cb,237292347,Social Science & Medicine,7,"County Health System ( Field Site 1 ) is a large public integrated delivery system on the West Coast , comprising one main hospital , multiple outpatient clinics , a specialty center , and several ancillary services distributed through the region . As the county 's medical safety - net within the area 's stratified ecology of health services , patients , providers , and staff all exhibited a high level of racial , ethnic , and linguistic diversity , with many also reporting histories of immigration . As a public institution , the organization carries a mission of serving all patients without consideration of ability to pay . Despite this stated mission and urban geographic location , the health system rarely acknowledged SGM issues within its public messaging of care for "" all . "" The announcement of the SOGI mandate appeared within the organization 's existing data - centered accountable care initiatives , with the data understood as a new demographic reporting requirement following growing societal awareness of gender and sexuality .",174,231880553_6,
648a4abf1b9b678478e07b77,52844692,BMJ,21,"comparison with other studies By contrast with most previous research , our study included women aged 15 - 49 years , most of whom will have been premenopausal . Thus , the periods of observation for ever users of hormonal contraceptives in this age group had a higher proportion of information relating to current or recent use than those for ever users in a study recruiting older women , because many would have stopped using hormonal contraception many years previously . The Collaborative Group on Epidemiological Studies of Ovarian Cancer 's reanalysis of oral contraception data from 45 studies included women who were generally older than our cohort ( mean age of diagnosis of ovarian cancer was 56 years , with only 18 % of tumours diagnosed in women younger than 45 years ) . 4 The overall relative risk between ever and never users was 0.73 ( 95 % confidence interval 0.70 to 0.76 ) . The Collaborative Group 's analysis found that younger and premenopausal women seemed to have greater percentage reductions in risk of ovarian cancer per five years of oral contraceptive use . 4 However , after accounting for time since last use , no significant heterogeneity by menopausal status or age was seen , demonstrating that how recent a woman last used hormonal contraceptives was more important than the other two factors . Our slightly stronger reduced risk for any ovarian cancer among ever users of any hormonal contraception ( relative risk 0.66 ( 95 % confidence interval 0.58 to 0.76 ) ) was possibly due to 58 % of the total period of observation in ever users arising from current or recent use of combined oral contraceptives . Similar to the Collaborative Group 4 and other more recent investigations , [ 5][6][7][8][9 ] we found that the risk reductions among current users of any hormonal contraception got stronger with longer durations of use and persisted for a number of years after stopping use . The apparent loss of protection 10 years after stopping hormonal contraception could be due to the loss of biological effect ( assuming a causal association exists ) , or reduced statistical power to continue to observe a significant reduction due to the relatively small periods of observation ( 7 % of total person years for ever use ) .",389,233290880_15,
648a473a1b9b678478cc289a,233004363,The astrophysical journal,51,"The differences in frequency coverage and timing precision between the GBT and CHIME / Pulsar data sets lead to observable differences in their DM measurements . In particular , while the GBT data yield superior RMS timing residuals in both receiver bands than those obtained with CHIME / Pulsar , the CHIME / Pulsar data nonetheless yield better precision in DM measurements ; the median uncertainty in GBT DMs determined with PulsePortraiture is ∼ 8 × 10 −4 pc cm −3 , while the same measure in the CHIME / Pulsar data set is ∼ 2 × 10 −4 pc cm −3 . The median DMX measurement uncertainty in the CHIME / Pulsar era has comparable precision to that obtained with GLOW by Donner et al . ( 2020 ) , ∼ 4 × 10 −5 pc cm −3 . Further analysis of the DM timeseries for PSR J0740 + 6620 will be the subject of future works .",159,253627721_13,
648a4abf1b9b678478e0a919,15672835,BMJ,24,"At age 12 , the children who attended the clinic were more likely to be girls , have a higher birth weight , be from a higher social class , have older and taller mothers , and have mothers with higher levels of education compared with non - attenders . 17 There was a similar pattern of differences between clinic attenders who provided valid measures of physical activity and attenders who did not . The differences between attenders and non - attenders were similar at age 14 . However , the differences between children who did and did not provide valid accelerometer data were markedly reduced at age 14 , with the exception of mother 's level of education .",120,235513294_11,
648a473a1b9b678478cc3af8,55049352,The astrophysical journal,5,"NGC4993 was also observed during Hubble Space Telescope ( HST ) Cycle 24 ( PropID 14840 , PI : Bellini ) using ACS in F606W. The data were publicly released in April 2017 and were accessed via the Hubble Source Catalog ( HSC ; Whitmore et al . 2016 ) .",51,198689284_32,
648a4abe1b9b678478e03e73,22525744,BMJ,11,"Clinical study reports ( CSRs ) are large documents , sometimes thousands of pages long , which are generated for regulatory purposes and follow a standard format set out under international guidance . 22 They are routinely created for industry trials , and less well known in the academic community , but contain a wealth of detail on methods and results that is often missing from other sources 23 : one recent study estimates that CSRs contain twice as much information on benefits and harms as academic papers on trials . 24 From 2010 the European Medicines Agency began releasing CSRs on request , after a European ombudsman ruling of maladministration against the agency for withholding such information . 25 Individual patient data ( IPD ) is the raw data collected during a clinical trial , with detailed information on each individual participant . As such it presents important opportunities for research - for example , by allowing third parties to verify trialists ' initial analyses ; permitting meta - analysis of pooled IPD for more accurate point estimates of benefits ; giving greater power for subgroup analyses ; and allowing new hypotheses to be explored in existing data , including on abandoned products and treatments . [ 26][27][28 ] However , it also presents a risk of re - identification of pseudonymised participants . Because of this , IPD is not generally posted in public but shared through various controlled access mechanisms , as with other forms of rich electronic health record data used by epidemiologists .",258,19041673_30,
648a42941b9b678478a24cdc,52051096,International Journal of Molecular Sciences,30,"Having in mind the important role of respiratory viruses in airway epithelial cell damage , we attempted to assess the indirect effect of respiratory viral infection on epithelial regeneration . Incubation of bronchial epithelial cells with supernatants collected over 72 h from either RV1bor PIV3 - infected cells decreased the repair process 24 h post injury . Preincubation of injured and not - injured cells with the LPS inhibitor decreased supernatant - induced repair inhibition . This effect was also seen in cultures stimulated by conditioned media from RV1b in the presence of either TRIF inhibitor or MyD88 inhibitor . These findings may suggest that supernatants activated TLRs by danger - associated molecular patterns ( DAMPs ) and are consistent with data suggesting that respiratory epithelial cells respond to infection and produce endogenous DAMPs , such as for example ATP , HMGB1 , and S100 proteins [ 37,38 ] . DAMPs activate epithelial cell - intrinsic pattern recognition pathways and also recruit and activate cells of the immune system [ 39 ] .",173,71144459_52,
648a39ff1b9b6784788b4854,202718443,Angewandte Chemie,10,analytical data in agreement with the literature . [ 12 ] (,12,235624815_6,
648a42951b9b678478a8eff3,237470810,International Journal of Molecular Sciences,13,"Our metabolomics study revealed common metabolic signatures affecting all COVID-19 patients and emphasized the major changes to affect the moderate and severe conditions . In particular , our data did not reveal huge alterations in mild patients compared to healthy individuals , suggesting that SARS - CoV-2 infection that induces mild symptoms does not substantially affect the serum metabolome and related metabolic pathways in these patients . Instead , the prevalent differences appear evident in the moderate condition , and are maintained in the severe one . In accordance with the trend of these findings , in a multi - omics study , a high similarity between moderate and severe COVID-19 and a major sharp shift between mild and moderate disease [ 31 ] was identified , which would be responsible for the key differences found in the serum metabolome of our patients ' cohort .",146,17147344_7,
648a398e1b9b6784788870e2,245168336,Advanced Materials,14,"Conventional static force - sensing mechanisms in e - skins mainly consist of resistive and capacitive sensing . Due to its simple mechanism and convenient data collection strategy , resistive pressure sensing has been extensively applied using various recording mechanisms . [ 111 ] Bulky piezoresistive e - skins , like sponge - based sensors , rely primarily on pressure - induced changes in the number of conductive pathways [ 112 ] or in the shape of the sensing material . [ 113 ] Meanwhile , other resistive sensors may analyze the changes in the contact resistance , like the quantum tunneling effect ( Figure 4A ) . [ 114,115 ] This type is much more sensitive and thinner than the bulky option . An e - skin based on bilayer microdome arrays can use microstructures to maximize the changes in surface contact resistance based on the tunneling effect ( Figure 4B ) . [ 115 ] Nevertheless , some drawbacks , like large hysteresis , [ 116 ] large confounding temperature sensitivity , [ 117 ] and varying pressure sensitivity [ 118 ] have limited the performance of resistive sensors . Compared with resistive sensors , capacitive sensors have excellent linearity with lower power consumption . [ 119 ] For piezocapacitive e - skins , capacitance changes are mainly based on the deformation of the dielectric layer . Normal pressure and tangential strain can be measured through a capacitive sensor as the dielectric layer can be deformed under tensile and external pressure ( Figure 4C ) . As demonstrated in Figure 4D , [ 120 ] a capacitive pressure sensing array with cross - arranged electrodes was fabricated using CNTs as the electrode material and PDMS as the dielectric layer .",292,4061736_21,
648a31c51b9b6784785f4578,21838,Social Science & Medicine,12,"Participants were requested to wear an actiwatch during the two weeks prior to a qualitative interview and to record their sleep in a structured sleep diary during that same period . An actiwatch is a small , wrist worn , device which measures movement on a minute - by - minute basis . It has been used widely within clinical sleep research as a proxy measure of sleep / wake ( Martin and Hakim , 2011 ) and has been shown to be suitable ( Sadeh , 2011 ) for identifying rhythms . The raw data from the actiwatch can be plotted to create a personalized actogram [ Fig . 1 ] . Each horizontal line in the actogram represents a 24 - h period ( from midnight to midnight ) . Black vertical lines represent movement , with the height of the line indicating intensity of movement . In a ' normal ' , monophasic pattern we would expect movement to be concentrated in the middle of each day with little movement to the far right and far left of each line . In Fig . 1 , which represents the total two - week period from a single participant , what is immediately of interest is ( i ) the constant and continuous movement across the 24h period and ( ii ) a lack of any clear demarcation between day / night movement . The actigraphy data were downloaded prior to the interviews and used during them to encourage participants to reflect on and interpret their personalized graph . The self - completion diaries ( when completed ) were also used during the interviews as prompts to recall and to help participants ' make sense ' of the actigraphy data . The actigraphs and diaries in effect acted as what Latour ( 1987 ) would call ' inscription devices ' ; encouraging a richer understanding of sleep as they provoked participants to reflect subjectively on seemingly objective measures of movement , rest and sleep .",337,234815857_12,
648a47391b9b678478cbe659,233204376,The astrophysical journal,41,"An important diagnostic , strongly confirming the low pair dominance independently of the pair equilibrium calculations , is the absence of an annihilation feature in the observed spectrum . Purely thermal plasmas do not show distinct pair annihilation lines even if dominated by pairs ( Zdziarski 1986;Stern et al . 1995 ; . However , the data for this source rule out purely thermal plasmas , see Figure 1 . On the other hand , hybrid plasmas can emit X - ray spectra well reproduced by Comptonization on mostly thermal electrons , but still exhibit relatively narrow annihilation features . The absence of such a feature in the average spectrum therefore implies the pair abundance to be very low .",120,53523031_13,
648a2ca31b9b67847842b35a,236495231,Journal of Business Ethics,13,"Conducting the initial review returned 724 articles within the Scopus database . Details of these articles ( including title , abstract , author , journal , year of publication ) were downloaded into an Excel file . This initial number of articles was examined for duplication of entries . There were multiple instances where articles contained references to both sustainability and one or both of the other search references . Once duplicates were removed 567 articles remained to be considered for analysis . All 567 articles were downloaded and reviewed to verify that they actually contained the search terms in the appropriate context . Articles were excluded from the data set for several reasons including not actually relating to sustainability ( e.g. content about sustainable competitive advantage ) or containing a general reference to cognitive / cognition without any depth ( e.g. a mention of cognitive bias ) or where the concept was not a key aspect of the article .",161,233713305_24,
648a44881b9b678478bbccad,231580367,Nature Medicine,60,The metagenomes are deposited in European Bioinformatics Institute European Nucleotide Archive under accession no . PRJEB39223 . The non - metagenomic data used for analysis in this study are held by the Department of Twin Research at King 's College London . The data can be released to bona fide researchers using our normal procedures overseen by the Wellcome Trust and its guidelines as part of our core funding . We receive around 100 requests per year for our datasets and have three meetings per month with independent members to assess proposals . The application can be found at https://twinsuk.ac.uk/resources-for-researchers/ access - our - data/. This means that data need to be anonymized and conform to GDPR standards .,119,233916124_4,
