text,sentiment,corpusid,section,subsection,corpusid_unique,,coll_sent,gold_label,jso,jz,jl,cw,ac,Ambiguous
"We thank A. Sachraida, C. Gould and P. J. Kelly for providing us with the experimental **data** and helpful comments, and S. Tomsovic for a critical discussion.",yes,119383949,1/4,3,119383949_1/4_3,,0,0,0,,0,,0,
"Gas distributions were then compared with published **data** on the regional hydrology and hydrochemistry, with particular emphasis on groundwater type, geochemical zonation and dissolved gas trends, and then transposed  Part B (left) shows the same chart, zoomed into the shallower horizons of the basin for clarity. Part C (right) highlights the widespread occurrence of CO 2 gas in the vertical profile, making up varying percentages of total gas content. Part D (far right) illustrates CO 2 gas volumes with depth. Parts C and D also show that while CO 2 may make up to 100% of a gas sample, the overall gas volume of this gas in the sequence may be minor. The 'boomerang' CO 2 trend in Part D strongly mirrors the same trend found in the total gas content trend in part A, but at a different depth horizon.",yes,129244480,11/39,2,129244480_11/39_2,,0,0,0,0,0,0,0,
"One function of the SG-SSPN subcomplex is to stabilize ␣-DG at the sarcolemma (Holt et al., 1998). By examining extraction of ␣-DG with SDS, we show that disruption of proper SG-SSPN protein interactions within the sarcolemma of SSPN-Tg muscle results in destabilization of ␣-DG. The role of ␣-DG in organization of the extracellular matrix has been well-established (Brown et al., 1999;Henry and Campbell, 1998;Henry et al., 2001;Kanagawa et al., 2005). We now show that SSPN overexpression disrupts formation of the extracellular matrix, as revealed by uncoupling of perlecan, laminin and collagen VI co-localization and as seen by electron microscopy. Laminins represent one of the major components of the extracellular matrix and mutations in the LAMA2 gene, which encodes laminin-␣2 chain, cause congenital MD (Allamand et al., 1997;Helbling-Leclerc et al., 1995;Miyagoe-Suzuki et al., 2000). Although the DGC is normally expressed in mouse models with defects in laminin (dy/dy, dy w /dy w , dy 3k /dy 3k , dy Pas /dy Pas , dy 2j /dy 2j ; dy = Lama2), the linkage between the extracellular matrix and the cytoskeleton is disrupted (Besse et al., 2003;Guo et al., 2003;Kuang et al., 1998;Miyagoe et al., 1997;Sunada et al., 1994;Xu et al., 1994). We provide **data** to demonstrate that the extracellular matrix, including laminin, exhibits abnormal structure in phenotypic SSPN-Tg muscle. Taken together, our **data** support a necessary role for SSPN in organizing proteins within the DGC and in assembly of the extracellular matrix.",yes,25460449,6/31,3,25460449_6/31_3,,0,0,0,0,0,0,1,
"The current results should be considered relative to a few study limitations. The CFS **data** did not specify the nature of proactive activities that patrol, DRT officers, or investigators were engaged in. Furthermore, although the coding of the ten call categories analyzed were informed by prior research (Wu & Lum, 2017), idiosyncrasies associated with the study departments' method of cataloging and recording call information did not always allow for direct comparisons to prior research on COVID-19's impact on police services. Similarly, measuring proactivity solely through self-initiated activities from CFS **data** is not a flawless indicator. Officers may engage in proactive work that is not captured in these **data** (Lum, Koper, et al., 2020). However, this method has been established as a reasonable way to distinguish proactivity from reactivity (Lum, Koper, et al., 2020;Wu & Lum, 2017;Zhang and Zhao, 2021).",yes,249258070,37/119,3,249258070_37/119_3,,0,0,0,0,0,0,0,
"
to the same scales as the soluble silica. 1 In what follows numerical **data** relating to the Chalk, unless otherwise stated, have been obtained from A. J. Jukes-Browne, Cretaceous Rocks of Britain, Mem. Geol. Surv. ; and from the papers on the White Chalk of the Knglish Coast in the Proc. Geol. Assoc. (1899-1903), by A. B. Rowe and CD. Sherborn.2 B. Moore, Trans. Geol. Physics Soc, 1917, p. 1. 
3 W. J. Sollas, The Age of the Earth, London, 1905, pp. 132-65. 
r-",yes,130484012,3/4,1,130484012_3/4_1,,1,0,1,1,1,1,1,
"Johannes Tröger conceptualized this work; he drafted the manuscript and edited the final version. Ebru Baykara contributed to the overall interpretation of the work and drafting of the manuscript. Elisa Mallick, Simona Schäfer, Louisa Schwed, and Mario Mina implemented the biomarker, analyzed the speech, conducted the statistical work, as well as drafted the methods and results sections of this article. Daphne ter Huurne and Nina Possemis acquired parts of the data, contributed to the clinical interpretation of the results, and revised the document. Jian Zhao oversaw the design of the V3 framework validation pipeline from a regulatory standpoint and revised the document. Nicklas Linz contributed to the overall concept of this research and revised the manuscript. Inez Ramakers is responsible for the DeepSpA study and **data** acquisition, drafted DeepSpA relevant parts of the document, and revised the manuscript. Craig Ritchie is the principal investigator of SPeAk, responsible for the concept and **data** acquisition, drafted SPeAk relevant parts of the document, and revised the manuscript.",yes,252664998,21/28,1,252664998_21/28_1,,1,0,1,0,0,0,0,
"To further study the potential role of PIKfyve in K18 PFFs uptake and seeding, we used YM-201636, a selective pharmacological PIKfyve inhibitor, shown to reduce the synthesis of PI 3,5 P 2 and to a lower extent PI 4,5 P 2 (49). To confirm its selectivity, we characterized this compound in a kinome profiling at 1 μM (Fig. S6). The selectivity profile confirmed strong binding to PIKfyve and no binding to the other two PIP5K subfamilies (note that the KINOMEscan from Discov-erX does not contain assays for the isoforms PIP5K1B and PIP4K2A-full **data** set is provided in Fig. S6).",yes,233192205,3/21,1,233192205_3/21_1,,1,0,1,1,1,1,0,
"BM-O and JO participated in the design of the study, patient evaluation, interpretation, and revision of data. DA-G and HC-M organized the data, also contributed to its interpretation as well as the writing of the first draft of the manuscript. GP-M contributed to **data** processing, statistical analysis, and **data** interpretation and wrote sections of the manuscript. All authors contributed to the article and approved the submitted version.",yes,254129277,22/27,1,254129277_22/27_1,,1,0,1,0,0,0,0,
"The findings from this systematic review highlight that EPA and DHA have differential effects on some cardiometabolic risk factors and that, to some degree, this effect is dependent on the study population. Both EPA and DHA are effective at lowering triglycerides, although there is evidence that DHA may lower triglycerides more than EPA. Whilst neither omega-3 PUFA alters total cholesterol to a great degree, DHA appears to increase HDL cholesterol, particularly the more cardioprotective HDL 2 subfraction, whilst EPA decreases HDL 3 cholesterol. DHA increases LDL cholesterol more than EPA, and more so in men than in women, and also increases LDL particle size, which may be less atherogenic. From the more limited trial **data** available, DHA may be more effective than EPA at lowering heart rate and blood pressure in normotensive individuals, whilst both EPA and DHA inhibited platelet function but had no effect on fibrinolytic function. Whilst inconsistent findings were reported for the effects of EPA and DHA on inflammatory markers and glycaemic control, both omega-3 PUFAs were able to lower oxidative stress, which is increased in certain subjects such as diabetics thereby increasing their risk of cardiovascular disease.",yes,4042856,89/130,1,4042856_89/130_1,,0,0,0,0,0,0,0,
Further information about the **data** logger and the geophones can be found in GFZ Potsdam web-page (http://www.gfz-potsdam.de/en/section/geophysical-deep-sounding/servicesinfrastructure/geophysical-in strument-pool-potsdam-gipp/instruments/seismicpool/).,yes,55648852,3/40,2,55648852_3/40_2,,1,0,1,1,0,0,1,
