text	corpusid	sentiment
Any methods , additional references , Nature Research reporting summaries , source data , extended data , supplementary information , acknowledgements , peer review information ; details of author contributions and competing interests ; and statements of data and code availability are available at https://doi.org/10.1038/ s41591 - 022 - 01688 - 4 .	246942644	yes
where was a small value ( 10 −12 ) close to zero and α took on a transform - specific value summarized in Table 1 . The transform - specific maximum value was computed as T ( 10 ) . Once the Gaussian samples were generated for each transformation function , the samples were inverse - transformed via the corresponding T −1 into the simulated neural responses . The code used to generate simulated data can be found at https://github.com/sinzlab/bashiri-et-al-2021 .  	237495187	yes
Data sharing : No additional data are available .	67859663	yes
Data on GDP and total energy consumption were taken from the China Statistical Yearbook and the China Energy Statistical Yearbook respectively . CO 2 emissions data were calculated using Eq . ( 1 ) . Fig . 1 describes relative changes in emissions , energy consumption , and GDP in China during the period 1990 - 2012 . As shown in Fig . 1 , the Chinese economy has undergone spectacular economic development , with an annual growth rate of 16.31 % over the past twentytwo years . China 's GDP increased from 1866.7 to 51,894.2 billion Yuan between 1990 and 2012 . Although China has made remarkable developmental progress , it has not yet completed the historical task of industrialization and its development is unbalanced . Thus , China still faces an arduous task in developing its economy , eliminating poverty , and improving the livelihoods of its population . Economic growth can improve living standards , but it can also lead to increases in energy consumption and CO 2 emissions . While the economy prospered , it is worth bearing in mind that China 's total energy consumption jumped from 1311.76 million t in 1990 to 3617.32 million t in 2012 ( Fig . 1 ) . According to our calculations , CO 2 emissions increased from 1.89 billion t in 1990 to 8.02 billion t in 2012 ( Fig . 1 ) . The upper fitting curve in Fig . 2 shows the correlated relationship between economic growth ( the independent variable ) and energy consumption ( the dependent variable ) during the period 1990 - 2012 . The lower curve displays the correlated relationship between economic growth ( the independent variable ) and CO 2 emissions ( the dependent variable ) during the same period . As shown in Fig . 2 , the three variables are strongly correlated ( displaying high R 2 values . ) Fig . 3 displays a scatter plot and distribution overlay of economic growth levels , energy consumption levels , and CO 2 emissions data in the form of a box chart , with the bottom and top of the box representing the 25th and 75th percentiles . Form Fig . 3 , we find CO 2 emissions to be highly concentrated at 5.26 billion t , and mainly dispersed from 3.33 to 6.68 billion t. Energy consumption is mainly distributed between 1300 and 2500 million t , and is concentrated at 1700 million t ( Fig . 3 ) . GDP is distributed from 8440.5 to 26,581.7 billion Yuan , with the most concentrated GDP at 12,033.3 billion Yuan .	45215519	yes
We thank an anonymous referee for providing crucial comments and suggestions that greatly improved the manuscript . We thank Luis Aguilar for fruitful discussions and advice . VRP acknowledges support from a CONACYT / UNAM scholarship . CRZ , VRP , MT and JH acknowledge support from UNAM - DGAPA - PAPIIT grants IN108117 , IN104316 and IA103017 , Mexico . ARL acknowledges support from program FONDECYT 1170476 , Chile and a PREI - DGAPA - UNAM academic exchange scholarship . This work has made use of data from the European Space Agency ( ESA ) mission Gaia ( https://www . cosmos.esa.int/gaia ) , processed by the Gaia Data Processing and Analysis Consortium ( DPAC , https://www . cosmos.esa.int/web/gaia/dpac/consortium ) . Funding for the DPAC is provided by the institutions participating in the Gaia Multilateral Agreement .	119332076	yes
To increase the external validity of our findings we used a populist sampling frame to identify both the recipes and the ready meals . However , the nutritional content of recipes varied substantially between individual recipe books ( data available from the author ) , suggesting that a different selection process may have led to different findings . Selecting books that were bestsellers in the run - up to Christmas may have influenced the selection of recipes , and the transient nature of bestseller charts may challenge the representativeness of the sample . The size of the sample prevented subgroup analyses comparing individual chefs or supermarkets .	5347191	yes
The Agricultural , Forestry and Fishing sector ( A ) , has been the least affected economic compartment with a GDP variation accounting for 0.13 % ( −584 million euro ) of the total change . According to data provide by OECD ( 2020a ) , the COVI-19 related spike in the consumption of vegetable and citrus fruits has contributed to boost a significant increase in the demand of agricultural products , with Spain experiencing the major sectoral gains ( +587 million euro ) . In line with the analysis provided by Eurostat for the food - related retail sector , the demand of agricultural products increased during the two first months of the pandemic and stabilized in the following period ( Eurostat retail trade database ) . The non - closure of supermarkets and essential shops , together with the panic buying behaviours has contributed to sustain the demand of the agricultural compartment ( Jaspal et al . , 2020 ) . Consequently , minor variations have taken place for the related carbon dioxide emissions change , that reduced by 338 thousand tons ( −0.17 % of the total change ) .	231677611	yes
To compare our findings to observations , we extract the following characteristics from the computed spectra : ( i ) the ratio of the integrated redward over the integrated blueward flux ( L red /L blue ) -which is a measure of the asymmetry of the line shape ; ( ii ) the flux at ' draught ' between the peaks ( F valley ) in comparison to the flux at the maximum point ( F peak ) , which , in practice , quantifies the ' deepness ' of the draught of the double peaked spectra ; and ( iii ) the position of the red emission peak ( v red ) . We show the evolution of these measures in Fig . 3 from t = 40 to 100 Myr ( in intervals of 10 Myr ) with the last data point marked with a square . We compare this to observations of nearby , star - forming galaxies ( the ' Green Peas ' ; data taken from Yang et al . 2016 , also Henry et al . 2015 , and to z ∼ 2 − 3 Lyman - α selected galaxies ( Erb et al . 2014 ) . In addition , we also display other simulation results presented in Walch et al . ( 2015 ) , Gatto et al . ( 2017 ) , and Peters et al . ( 2017 ) ( shown as black circles in Fig . 3 ) . These hydrodynamical simulations include supernovae feedback with random SN positions and cover SN rates from 5 to 45 Myr −1 with none including CRs ( but partially include stellar wind and UV feedback ) . We show them only to support the case that the spectral shape we obtain for the ' noCR ' simulation is not an outlier -but in fact typical for hydrodynamical simulations containing thermal feedback . Fig . 3 shows that all the simulations without CRs produce Lyα spectra with significant flux at line center ( F valley 0.4F peak ; see also the left panel of Fig . 1 ) . This flux is reduced significantly from t 30 Myr in the CR simulations as the outflow is established . Also the asymmetry of the line is increased leading to L red /L blue ∼ 2 . Both measures are more in line with what is found in observations where mostly F valley /F peak 0.1 and L red /L blue 2.5 ( see also Steidel et al . 2010;Kulas et al . 2012 ) . Determining F valley observationally requires a high spectral resolution since the convolution of the true spectrum with the instrument 's kernel leads to a spreading of the peak flux , and thus , the true value of F valley can be even lower than measured . This effect makes our comparison of F valley /F peak conservative and the true discrepancy between the ' noCR ' simulation and the observations might be even larger .	76652853	yes
The metagenomes are deposited in European Bioinformatics Institute European Nucleotide Archive under accession no . PRJEB39223 . The non - metagenomic data used for analysis in this study are held by the Department of Twin Research at King 's College London . The data can be released to bona fide researchers using our normal procedures overseen by the Wellcome Trust and its guidelines as part of our core funding . We receive around 100 requests per year for our datasets and have three meetings per month with independent members to assess proposals . The application can be found at https://twinsuk.ac.uk/resources-for-researchers/ access - our - data/. This means that data need to be anonymized and conform to GDPR standards .	231580367	yes
Data supporting the findings are found within the manuscript and supplemental tables . Raw data files will be provided by the corresponding author upon request .	73439113	yes
