text	corpusid	sentiment
Pathway analysis of differential gene and protein expression suggests that some CDK12 functions are conserved across cell types . In addition to cell type - specific regulation described above , we identified common ALE events that were regulated by CDK12 in multiple cell lines . From our experiments with SK - BR-3 , MDA - MB-231 and 184 - hTERT cells , and from the available datasets from HCT-116 cells ( 27 ) , we found that depletion of CDK12 promotes distal ALE splicing of the DNAJB6 ( DnaJ homolog subfamily B member 6 , MRJ ) gene transcript ( in SK - BR-3 , MDA - MB-231 and 184 - hTERT , avg = 0.24 ) . In an analysis of TCGA RNA - seq data for tumors containing CDK12 mutations or bi - allelic CDK12 deletions ( n = 18 comparisons ; mutation / deletion : control ) , we found the DNAJB6 distal ALE event in 78 % of comparisons on average , as compared to 46 % of control ( n = 54 comparisons ; control : control ) comparisons ( Fisher 's exact test P = 0.03 ) . Unlike the long genes that were regulated in a cell type - specific manner , DNAJB6 encodes two small protein isoforms ( 36 and 27 kDa ) from transcripts containing 10 and 8 exons , respectively ( Figure 8A ) . The short isoform of the DNAJB6 protein ( DNAJB6 - S ) is a cytosolic HSP40 family chaperone with implicated roles in Huntington 's disease ( 72,73 ) . By contrast , ALE splicing introduces a nuclear localization signal into the long isoform of DNAJB6 ( DNAJB6 - L ) and therefore it operates primarily in the nucleus . Increased nuclear localization of DNAJB6 - L has been reported to mitigate tumorigenicity and metastasis of breast and esophageal cancer cells ( 74,75 ) . We found that treatment of SK - BR-3 cells with CDK12 siRNA-1 increased expression of DNAJB6 - L with a concomitant decrease of DNAJB6 - S expression ( Figure 8B and C ) . This suggests that the high native CDK12 levels in SK - BR-3 cells can reduce the expression of DNAJB6 - L , consistent with overexpression of CDK12 functioning to promote tumorigenesis . We tested this hypothesis functionally in MDA - MB-231 cells , where DNAJB6 - L had been previously shown to decrease cell migration potential ( 74 ) . We first confirmed that treatment of MDA - MB-231 cells with CDK12 siRNA-1 increased gene and protein expression of DNAJB6 - L ( Figure   8B - D ) . To examine the cellular phenotype associated with CDK12 expression we used a scratch wound assay and live cell imaging of MDA - MB-231 cells as a functional test for cell migration ( Figure 9 ) . In separate assays we also coated the scratch wound with collagen - I to examine the ability of cells to invade into an extracellular matrix . Depletion of CDK12 by siRNA ( Figure 9A ) decreased the ability of MDA - MB-231 cells to migrate and invade into a matrix ( Figure 9B and C , ' Dep ' ) . In this experiment , cells were pre - treated with Mitomycin C to inhibit cell proliferation to ensure that the changes in migration and invasion rates were not due to impaired cell growth caused by the siRNA treatment ( Supplementary Figure S10A ) . The same result was also observed using a different CDK12 siRNA construct ( CDK12 siRNA-3 ) , suggesting that these observa-   tions were not due to off - target effects ( Supplementary Figure S10B ) . Transfection of CDK12 siRNA - treated MDA - MB-231 cells with a CDK12 cDNA to re - introduce CDK12 ( Figure 9A ) recovered the migratory and invasive properties ( Figure 9B and C , ' Res ' ) . Unlike SK - BR-3 cells , MDA - MB-231 cells do not over - express CDK12 . Therefore , we also tested the effect of CDK12 over - expression on cell migration and invasion . Compared to a vector control , MDA - MB-231 cells transfected with a CDK12 cDNA decreased DNAJB6 - L expression and were able to migrate and invade at a faster rate ( Figure 9A - C , ' OE ' ) . These experiments show that the ability of MDA - MB-231 cells to invade is correlated with CDK12 expression and inversely correlated with the expression level of DNAJB6 - L ( Figure 9D ) . Therefore , our results suggest that CDK12 can increase the invasiveness of a breast cancer cell line , likely through ALE splicing of the DNAJB6 gene .	25069869	maybe
"representing types other than the first two . We compiled a list of 80 stable quasicrystals and 78 approximants from the Crystallography of Quasicrystals handbook [ 31 ] ( see Table S1 , Supporting Information and Supplementary Data ( supporting file 2 ) for digital data ) . In addition , the compositions of 10 000 ordinary crystals were randomly extracted from the Materials Project database , which recorded a total of 126 335 crystals . [ 32 ] We also used 90 crystals from our laboratory data on failed quasicrystal syntheses . These instances form the class "" others "" . The detailed data preparation procedure is given in the Experimental Section ."	233913481	maybe
c. Intermolecular DEER analysis of free hnRNP A1 DEER with singly spin - labelled proteins was applied to characterize protein - protein interactions . Contributions to the DEER signal that enable this analysis are schematically displayed in Figure S6 . The DEER primary data for hnRNP A1 singly spin - labelled at sites 231 , 271 , and 316 are shown in Figure S6 , analogous to the data in main text Figure 1H. The samples in this series were at 50 μM protein concentration , labelling efficiency as determined by spin counting is annotated ( no spin dilution ) . Deuterated glycerol 50 % ( v : v ) was used as cryoprotectant in this series . A distance analysis was performed in the same way as for the distance restraints ( homogenous background correction followed by single - Gaussian fit ) and is shown as well . This analysis implicitly assumes that all of the short - range interactions that are not removed by the background fit arise from dimerized protein and that the monomers and dimers are otherwise homogenously distributed in the sample ( background dimensionality of the DEER fit is three ) . The distance distributions are very broad and very similar for all three sites , which demonstrates that the proteins are not interacting in a well - defined manner , but rather form a disordered complex or a condensed phase . Note that distance data derived in this way can only serve as a guideline to monitor proteinprotein interactions . They are probably a poor approximation of the actual distance distributions , given that a fraction of hnRNP A1 is likely in the LD state , where local spin label concentration is expected to be very high .	250953295	no
Through a multiple linear regression model , we correlated the share of users who abandoned PT during 2020 , with income equality variables , PT service characteristics , quality of service aspects and pandemic severity data . Empirical findings revealed that the presence of income inequalities resulted in lower abandonment rate , which could mirror the behaviour of captive users . Simultaneously , regarding PT trip characteristics , results imply that PT vehicle transfers and waiting time are the two most critical trip segments as per user opinion , for continuing or not using PT modes . Additionally , results confirm our initial hypotheses that : ( a ) in cities with higher pandemic impact ( as per number of deaths ) users were deterred to use PT and ( b ) improved disinfection in vehicles could contribute to sustaining ridership . Based on the empirical findings of the regression model analysis , specific policy implications can be derived . The methodology of this paper aims at identifying the key factors that influenced travel behaviour , in terms of abandonment of PT , during the COVID-19 era . These factors may highlight suitable measures , which can be followed by PT and governmental agencies , towards maintaining PT ridership during pandemic and post - pandemic circumstances . At first , the proper and frequent disinfection of vehicles could enhance the perception of safety to PT users and convince them to select PT . Likewise , changes in the PT network , towards the direction of providing more direct trips , can contribute to limited interaction between passengers and thus minimize the possibility of infection . In the same sense , PT operators should ensure that waiting facilities ( bus stops , metro platforms , etc . ) adhere to the health and safety protocols ( clean surfaces , proper ventilation , etc . ) , in order to build confidence among users that PT is not a hotbed of COVID-19 contraction . Furthermore , in regions with higher income inequalities , operators should expect a comparatively lower decrease in PT ridership and thus , the application of PT preferential treatment measures ( dedicated bus lanes , traffic signal priority , etc . ) ( Pulichino & Coughlin , 2005 ) would increase commercial PT speeds and ultimately improve PT service frequencies so as to address crowding events .	255826268	no
Based on existing literature , expert opinion , and other secondary sources ( Ioannidis et al . , 2020 ) , the prominent factors responsible for the spread of COVID-19 are considered for constructing Bayesian network ( Roy and Ghosh , 2020;Tantrakarnapa et al . , 2020 ) . These factors are listed in Table 1 . The dataset for the United States of America corresponding to these crucial parameters is retrieved from various authorized sources for the purpose of illustration and analysis using COVID-19 Bayesian model . The major sources of the data are Centres for Disease Control and Prevention ( CDC , 2020 ) , Calgary ( 2020 ) , Health System Tracker ( 2020 ) , National Weather Service ( NWS , 2020 ) , Statista ( 2020aStatista ( , 2020b , Statistics times ( 2020 ) , UNODC ( 2016 ) , World Tourism Organization ( UNWTO ) ( 2019 ) , and World population review ( 2020 ) . Specific data collected from each source are also listed during the course of discussion . The collected data accounts for the COVID cases from the beginning of the pandemic till 20 October 2020 , and it is used for developing the probability tables corresponding to each parameter in the COVID model following the top to down approach .	232144614	maybe
"Siamese nets are typically trained on a collection of similar ( positive ) and dissimilar ( negative ) pairs of data points . When labeled data are available , such pairs can be chosen based on label information ( i.e. , pairs of points with the same label are considered positive , while pairs of points with different labels are considered negative ) . Here we focus on datasets that are unlabeled . In this case we can learn the affinities directly from Euclidean proximity or from graph distance , e.g. , by "" labeling "" points x i , x j positive if x i − x j is small and negative otherwise . In our experiments , we construct positive pairs from the nearest neighbors of each point . Negative pairs are constructed from points with larger distances . This Siamese network , therefore , is trained to learn an adaptive nearest neighbor metric ."	3278749	no
"In the remainder of this section we investigate the extent to which different F - theory GUTs generate distinguishable experimental signatures . To this end , in subsection 4.1 we first list candidate signatures of interest which have strong dependence on the parameters of F - theory GUTs . Using these signatures , we compute the corresponding value of ∆S 2 between a fixed "" LHC point "" and various F - theory GUTs . In particular , we show that this type of analysis is capable of determining both N 5 and Λ , and moreover , can distinguish between scenarios with small and large PQ deformation . Restricting to the case of single messenger F - theory GUTs and a particular value of Λ , we next compute the value of ∆S 2 between models with different values of ∆ P Q . We find that at 5 fb −1 of simulated data , ∆ P Q can be determined up to an uncertainty of ∼ ±80 GeV , while at 50 fb −1 , this improves to an uncertainty of ∼ ±10 GeV. In particular , this shows that the LHC is indeed sensitive , albeit indirectly , to string scale physics ! Finally , although outside the main focus of this paper , in Appendix E we consider the sensitivity of the endpoint of the ditau invariant mass distribution as a function of ∆ P Q ."	18658021	no
"Example See table 3 . Explanation We recommend that reviewers assess the risk of bias in the included studies using a standard approach with defined criteria ( see item 12 ) . They should report the results of any such assessments . 89 Reporting only summary data ( such as "" two of eight trials adequately concealed allocation "" ) is inadequate because it fails to inform readers which studies had the particular methodological shortcoming . A more informative approach is to explicitly report the methodological features evaluated for each study . The Cochrane Collaboration 's new tool for assessing the risk of bias also requests that authors substantiate these assessments with any relevant text from the original studies . 11 It is often easiest to provide these data in a tabular format , as in the example . However , a narrative summary describing the tabular data can also be helpful for readers . Item 20 : Results of individual studies For all outcomes considered ( benefits and harms ) , present , for each study , simple summary data for each intervention group and effect estimates and confidence intervals , ideally with a forest plot ."	32270800	no
For GBM we used the 8 - channel ctime data to carry out this test on GRB 210812A. We considered all the detectors where the second pulse was visible in any channel ( n1 , n6 through nb , energy channels 1 through 6 , and b0 and b1 , energy channels 0 and 1 ) , and data from ACS and BAT ( 25 - 350 keV ) . We find that the ratio of the pulses in all the channels and all three instruments is consistent with the mean value within 1.6 standard deviations ( see Figure 5 ) . We thus conclude that GRB 210812A passes the count ratio test for lensing .	238634528	no
Any methods , additional references , Nature Research reporting summaries , source data , extended data , supplementary information , acknowledgements , peer review information ; details of author contributions and competing interests ; and statements of data and code availability are available at https://doi.org/10.1038/ s41591 - 022 - 01688 - 4 .	246942644	yes
